,"Truck Container  2002  Total U.S.-Canadian border  6,820,052  Total top 5 gateways  4,544,669  Detroit, MI  1,668,496  Buffalo-Niagara, NY  1,208,096  Port Huron, MI  907,291  Blaine, WA  409,786  Champlain-Rouses Point, NY  351,000",Truck Container,2002,Total U.S.-Canadian border,"6,820,052",Total top 5 gateways,"4,544,669","Detroit, MI","1,668,496","Buffalo-Niagara, NY","1,208,096","Port Huron, MI","907,291","Blaine, WA","409,786","Champlain-Rouses Point, NY","351,000","Truck Container  2003  Total U.S.-Canadian border  6,606,307  Total top 5 gateways  4,397,004  Detroit, MI  1,588,769  Buffalo-Niagara, NY  1,162,950  Port Huron, MI  927,740  Champlain-Rouse Pt., NY  378,783  Blaine, WA  338,762",Truck Container.1,2003,Total U.S.-Canadian border.1,"6,606,307",Total top 5 gateways.1,"4,397,004","Detroit, MI.1","1,588,769","Buffalo-Niagara, NY.1","1,162,950","Port Huron, MI.1","927,740","Champlain-Rouse Pt., NY","378,783","Blaine, WA.1","338,762","Truck Container  2004  Total U.S.-Canadian border  6,775,388  Total top 5 gateways  4,520,932  Detroit, MI  1,638,062  Buffalo-Niagara, NY  1,175,884  Port Huron, MI  947,907  Champlain-Rouse Pt., NY  381,434  Blaine, WA  377,645",Truck Container.2,2004,Total U.S.-Canadian border.2,"6,775,388",Total top 5 gateways.2,"4,520,932","Detroit, MI.2","1,638,062","Buffalo-Niagara, NY.2","1,175,884","Port Huron, MI.2","947,907","Champlain-Rouse Pt., NY.1","381,434","Blaine, WA.2","377,645","Truck Container  2005  Total U.S.-Canadian border  6,775,444  Total top 5 gateways  4,472,799  Detroit, MI  1,678,177  Buffalo-Niagara, NY  1,142,274  Port Huron, MI  924,776  Champlain-Rouse Pt., NY  374,524  Blaine, WA  353,048",Truck Container.3,2005,Total U.S.-Canadian border.3,"6,775,444",Total top 5 gateways.3,"4,472,799","Detroit, MI.3","1,678,177","Buffalo-Niagara, NY.3","1,142,274","Port Huron, MI.3","924,776","Champlain-Rouse Pt., NY.2","374,524","Blaine, WA.3","353,048","Truck Container  2006  Total U.S.-Canadian border  6,669,623  Total top 5 gateways  4,412,181  Detroit, MI  1,715,969  Buffalo-Niagara, NY  1,118,120  Port Huron, MI  833,711  Champlain-Rouse Pt., NY  391,541  Blaine, WA  352,840",Truck Container.4,2006,Total U.S.-Canadian border.4,"6,669,623",Total top 5 gateways.4,"4,412,181","Detroit, MI.4","1,715,969","Buffalo-Niagara, NY.4","1,118,120","Port Huron, MI.4","833,711","Champlain-Rouse Pt., NY.3","391,541","Blaine, WA.4","352,840","Truck Container  2007  Total U.S.-Canadian border  6,365,752  Total top 5 gateways  4,306,192  Detroit, MI  1,725,426  Buffalo-Niagara, NY  1,088,469  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  366,059  Blaine, WA  355,956",Truck Container.5,2007,Total U.S.-Canadian border.5,"6,365,752",Total top 5 gateways.5,"4,306,192","Detroit, MI.5","1,725,426","Buffalo-Niagara, NY.5","1,088,469","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","366,059","Blaine, WA.5","355,956","Truck Container  2008  Total U.S.-Canadian border  5,782,214  Total top 5 gateways  3,827,225  Detroit, MI  1,482,250  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,493  Champlain-Rouse Pt., NY  356,844  Blaine, WA  274,309",Truck Container.6,2008,Total U.S.-Canadian border.6,"5,782,214",Total top 5 gateways.6,"3,827,225","Detroit, MI.6","1,482,250","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,493","Champlain-Rouse Pt., NY.5","356,844","Blaine, WA.6","274,309"
145,"Champlain-Rouse Pt., NY",281415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Truck Container,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Total U.S.-Canadian border,5456616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Total top 5 gateways,3762608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Detroit, MI",1513095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Buffalo-Niagara, NY",919904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Port Huron, MI",723725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Blaine, WA",325266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Champlain-Rouse Pt., NY",280618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Truck Container,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Total U.S.-Canadian border,5579788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Total top 5 gateways,3852285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Detroit, MI",1475518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Buffalo-Niagara, NY",954145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Port Huron, MI",768121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Blaine, WA",367979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Champlain-Rouse Pt., NY",286522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Truck Container,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Total U.S.-Canadian border,5864339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Total top 5 gateways,4062964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Detroit, MI",1831969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Buffalo-Niagara, NY",873973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Port Huron, MI",790103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Blaine, WA",289825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Champlain-Rouse Pt., NY",277094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Rail Container  2009  Total U.S.-Canadian border  1,553,416  Total top 5 gateways  1,115,410  Port Huron, MI  369,321  International Falls, MN  295,171  Portal, ND  194,884  Detroit, MI  155,283  Buffalo-Niagara, NY  100,751",Rail Container,2009.0,Total U.S.-Canadian border,1553416.0,Total top 5 gateways,1115410.0,"Port Huron, MI",369321.0,"International Falls, MN",295171.0,"Portal, ND",194884.0,"Detroit, MI",155283.0,"Buffalo-Niagara, NY",100751.0,"Rail Container  2010  Total U.S.-Canadian border  1,802,259  Total top 5 gateways  1,265,980  Port Huron, MI  390,777  International Falls, MN  348,086  Portal, ND  217,195  Detroit, MI  184,290  Blaine, WA  125,632",Rail Container,2010.0,Total U.S.-Canadian border,1802259.0,Total top 5 gateways,1265980.0,"Port Huron, MI",390777.0,"International Falls, MN",348086.0,"Portal, ND",217195.0,"Detroit, MI",184290.0,"Blaine, WA",125632.0,"Rail Container  2011  Total U.S.-Canadian border  1,926,376  Total top 5 gateways  1,358,670  International Falls, MN  394,628  Port Huron, MI  391,482  Detroit, MI  217,204  Portal, ND  190,512  Blaine, WA  164,844",Rail Container,2011.0,Total U.S.-Canadian border,1926376.0,Total top 5 gateways,1358670.0,"International Falls, MN",394628.0,"Port Huron, MI",391482.0,"Detroit, MI",217204.0,"Portal, ND",190512.0,"Blaine, WA",164844.0,"Rail Container  2012  Total U.S.-Canadian border  2,147,187  Total top 5 gateways  1,520,677  International Falls, MN  500,164  Port Huron, MI  397,670  Portal, ND  238,942  Detroit, MI  218,786  Blaine, WA  165,115",Rail Container,2012.0,Total U.S.-Canadian border,2147187.0,Total top 5 gateways,1520677.0,"International Falls, MN",500164.0,"Port Huron, MI",397670.0,"Portal, ND",238942.0,"Detroit, MI",218786.0,"Blaine, WA",165115.0,"Rail Container  2013  Total U.S.-Canadian border  2,285,902  Total top 5 gateways  1,639,445  International Falls, MN  561,238  Port Huron, MI  425,774  Portal, ND  256,587  Detroit, MI  227,916  Blaine, WA  167,930",Rail Container,2013.0,Total U.S.-Canadian border,2285902.0,Total top 5 gateways,1639445.0,"International Falls, MN",561238.0,"Port Huron, MI",425774.0,"Portal, ND",256587.0,"Detroit, MI",227916.0,"Blaine, WA",167930.0,"Rail Container  2014  Total U.S.-Canadian border  2,354,853  Total top 5 gateways  1,668,116  International Falls, MN  614,144  Port Huron, MI  478,538  Portal, ND  274,528  Detroit, MI  162,813  Blaine, WA  138,093",Rail Container,2014.0,Total U.S.-Canadian border,2354853.0,Total top 5 gateways,1668116.0,"International Falls, MN",614144.0,"Port Huron, MI",478538.0,"Portal, ND",274528.0,"Detroit, MI",162813.0,"Blaine, WA",138093.0,"Rail Container  2015  Total U.S.-Canadian border  2,337,488  Total top 5 gateways  1,723,512  International Falls, MN  703,399  Port Huron, MI  437,175  Portal, ND  256,478  Blaine, WA  168,196  Detroit, MI  158,264",Rail Container,2015.0,Total U.S.-Canadian border,2337488.0,Total top 5 gateways,1723512.0,"International Falls, MN",703399.0,"Port Huron, MI",437175.0,"Portal, ND",256478.0,"Blaine, WA",168196.0,"Detroit, MI",158264.0
171,Rail Container,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Total U.S.-Canadian border,1553416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Total top 5 gateways,1115410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Port Huron, MI",369321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"International Falls, MN",295171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Portal, ND",194884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"Detroit, MI",155283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Buffalo-Niagara, NY",100751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Rail Container,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Total U.S.-Canadian border,1802259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Total top 5 gateways,1265980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Port Huron, MI",390777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"International Falls, MN",348086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Portal, ND",217195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Detroit, MI",184290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Blaine, WA",125632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Rail Container,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Total U.S.-Canadian border,1926376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Total top 5 gateways,1358670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"International Falls, MN",394628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"Port Huron, MI",391482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Detroit, MI",217204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Portal, ND",190512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Blaine, WA",164844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Rail Container,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Total U.S.-Canadian border,2147187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Total top 5 gateways,1520677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"International Falls, MN",500164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Port Huron, MI",397670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"Portal, ND",238942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"Detroit, MI",218786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"Blaine, WA",165115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Rail Container,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Total U.S.-Canadian border,2285902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Total top 5 gateways,1639445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"International Falls, MN",561238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"Port Huron, MI",425774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"Portal, ND",256587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"Detroit, MI",227916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Blaine, WA",167930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Rail Container,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Total U.S.-Canadian border,2354853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Total top 5 gateways,1668116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"International Falls, MN",614144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"Port Huron, MI",478538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Portal, ND",274528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Detroit, MI",162813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"Blaine, WA",138093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Rail Container,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Total U.S.-Canadian border,2337488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Total top 5 gateways,1723512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"International Falls, MN",703399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"Port Huron, MI",437175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"Portal, ND",256478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"Blaine, WA",168196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
