,Urban area,Population group,Gallons wasted,Percent changea,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,Short-term  2009-2014,Long-term  1982-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,Percent,Rank,Percent,Rank,,
92,"St. Louis, MO-IL",Large,5,6,9,9,10,11,12,13,14,14,15,16,16,17,18,18,19,20,20,21,21,20,20.0,20.0,20.0,20,21,5.0,79,320.0,80.0
93,"Stockton, CA",Small,1,1,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,7,8,8,7,7,7.0,7.0,7.0,7,7,0.0,88,600.0,37.0
94,"Tampa-St. Petersburg, FL",Large,4,5,7,8,9,9,9,10,10,10,11,11,12,13,14,14,16,17,18,18,18,17,17.0,17.0,18.0,18,18,5.6,72,350.0,74.0
95,"Toledo, OH-MI",Medium,5,6,9,10,10,11,12,13,13,14,14,15,15,15,16,16,17,17,18,18,19,18,19.0,19.0,20.0,20,20,11.1,46,300.0,83.0
96,"Tucson, AZ",Medium,4,5,8,8,9,10,10,11,11,12,13,14,15,15,15,16,17,18,19,21,22,20,21.0,21.0,22.0,22,23,15.8,20,475.0,57.0
97,"Tulsa, OK",Medium,3,5,7,8,9,10,10,10,11,12,13,13,13,14,14,15,16,16,17,18,19,18,18.0,19.0,19.0,19,20,11.8,41,566.7,46.0
98,"Virginia Beach, VA",Large,4,5,8,8,9,10,11,12,13,14,14,15,15,16,16,16,17,17,17,18,18,17,18.0,18.0,18.0,18,19,11.8,41,375.0,68.0
99,"Washington, DC-VA-MD",Very large,8,11,14,16,17,18,20,20,21,21,22,23,24,25,27,28,29,30,31,32,33,34,34.0,35.0,35.0,35,35,3.2,87,337.5,77.0
100,"Wichita, KS",Medium,3,4,7,8,8,8,9,9,10,10,10,11,11,12,12,13,14,15,16,17,17,15,16.0,17.0,17.0,17,18,18.8,15,500.0,54.0
101,"Winston-Salem, NC",Small,1,1,2,2,2,2,2,3,3,4,4,4,5,5,5,6,6,7,7,8,7,7,7.0,7.0,7.0,7,7,0.0,88,600.0,37.0
102,"Worcester, MA",Small,2,4,7,7,8,9,9,10,11,11,12,13,13,14,15,15,16,16,17,18,18,17,18.0,18.0,18.0,18,18,5.9,71,800.0,17.0
103,471 Urban area average,471 Areas,5,6,8,9,9,10,11,11,12,12,13,13,14,15,16,17,17,17,17,18,18,17,18.0,18.0,18.0,19,19,11.8,,280.0,
104,101 Urban area average,101 Areas,6,7,10,11,11,12,13,13,14,15,16,16,17,18,19,20,20,21,21,22,22,21,22.0,22.0,22.0,23,23,9.5,,283.3,
105,Very large urban area average,Very large,9,10,13,13,14,15,16,17,17,18,19,20,21,22,23,24,24,25,26,26,26,25,25.0,26.0,26.0,27,27,7.7,,200.0,
106,Large urban area average,Large,3,5,7,8,9,9,10,11,12,12,13,14,15,16,16,17,18,18,19,19,19,19,19.0,20.0,20.0,21,21,10.5,,600.0,
107,Medium urban area average,Medium,5,5,7,7,8,8,9,10,10,11,12,12,13,13,14,15,15,15,16,17,17,16,17.0,17.0,17.0,18,18,12.5,,260.0,
108,Small urban area average,Small,2,3,4,5,5,5,6,6,7,7,8,8,9,9,10,11,11,12,13,13,13,13,13.0,13.0,13.0,14,14,7.7,,600.0,
