FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Brunswick,GA,0,"635,938","42,386","15,210",659,0,"694,193",0,0,0,0,0,0,"334,128","105,973","76,941","18,938","19,206","555,186","84,948","34,714","30,789","8,123","4,415","162,989"
Buffalo,NY,"94,988","1,600,112","168,687","183,000","19,140","18,908","1,989,848","721,960","299,570","181,197","105,615","39,166","1,347,508","94,170","109,762","126,233","39,548","37,744","407,458","1,281,707","976,076","1,130,371","137,993","213,951","3,740,098"
Burlington,NC,"41,203","2,098,404","41,253","20,890",0,0,"2,160,547",0,0,0,0,0,0,"61,484","82,043","118,866","42,258","54,178","358,828","132,213","102,811","201,399","36,516","54,836","527,775"
Burlington,VT,"20,757","764,207","44,127","17,557",493,0,"826,384","38,287","9,908","19,478","5,686","1,540","74,899","60,494","49,325","29,852","6,546","17,411","163,628","136,044","193,659","120,246","63,445","21,180","534,575"
Camarillo,CA,0,0,0,0,0,0,0,"749,309","13,000","10,608","35,440",116,"808,473","2,311","5,514","6,996","16,169","8,182","39,172","364,425","12,687","1,683",0,"115,256","494,052"
Canton,OH,0,"675,730","22,834","53,253","5,185","3,741","760,743","278,829","64,810","50,078","19,352","4,303","417,373","172,777","64,808","67,524","54,118","25,915","385,142","339,703","176,279","268,479","290,652","341,238","1,416,351"
Cape Coral,FL,"40,554","1,148,437",0,"4,593",0,0,"1,153,029","137,161","37,092","9,017",0,0,"183,270","1,046,429","132,996","51,699","26,870","2,976","1,260,970","2,408,144","514,315","492,153","47,256","20,843","3,482,711"
Cape Girardeau,IL,0,0,0,0,0,0,0,"17,817",0,0,0,0,"17,817",0,0,0,0,0,0,0,0,0,0,0,0
Cape    Girardeau,MO,"50,621","285,741","27,306","12,274",759,0,"326,081","10,338","13,199","3,204",339,0,"27,080","62,247","8,266","11,811","4,300",174,"86,798",0,0,0,66,"4,663","4,729"
Carbondale,IL,0,"98,115","26,319",0,0,0,"124,434",0,0,0,0,0,0,"508,414","94,509","34,415","23,732","4,270","665,340","24,754","4,283","202,913","33,829","12,901","278,681"
Carson City,NV,"9,074","79,364","7,730","3,000","2,048",0,"92,142","40,797","4,428",378,0,0,"45,603","180,183",0,0,0,0,"180,183","186,360","85,695","58,598","5,042","15,156","350,851"
