FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Oxnard,CA,0,0,0,0,0,0,0,"701,731","33,530","214,045","39,034","20,810","1,009,149","110,293","37,825","111,910","156,952","70,754","487,735","268,278","116,129","125,047","116,253","173,509","799,216"
Palm    Bay--Melbourne,FL,"1,731","584,305","4,403","2,187",0,0,"590,895","276,082","17,775","10,931",0,0,"304,788","674,973","153,560","80,224","19,625","8,531","936,912","776,936","297,306","642,370","336,078","174,978","2,227,668"
Palm    Coast--Daytona Beach--Port Orange,FL,"398,591","1,502,684","84,239","7,633","7,027",0,"1,601,582",0,0,0,0,0,0,"579,017","94,046","36,225","6,439","4,924","720,651","428,315","113,196","228,856","933,754","72,105","1,776,226"
Panama City,FL,"1,077",0,0,0,0,0,0,0,0,0,0,0,0,"402,416","37,876","9,938","5,766","2,998","458,994","933,111","112,073","116,485","39,024",104,"1,200,797"
Parkersburg,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,887","9,799","9,341","2,035","1,125","90,186","22,724","12,852","6,135","1,455",371,"43,537"
Parkersburg,WV,"265,307","28,303",0,"1,304",0,0,"29,606",0,0,0,0,0,0,"180,968","114,918","132,500","33,856","16,046","478,288","31,402","24,459","72,098","42,084","29,171","199,215"
Pascagoula,MS,0,"94,049","5,039","2,661",0,0,"101,749",0,0,0,0,0,0,"387,343","39,845","13,354","12,595","4,944","458,081","48,701","26,298","47,773","25,736","6,553","155,062"
Pensacola,AL,"3,820",0,0,0,0,0,0,0,0,0,0,0,0,"55,799","13,645","6,359","1,690","1,690","79,182","75,158","7,681","1,696","4,705",0,"89,239"
Pensacola,FL,"8,756","690,837","24,702","12,582","2,709",0,"730,830",0,0,0,0,0,0,"345,091","88,797","36,768","5,529","9,533","485,718","1,969,037","526,226","517,977","83,139","55,467","3,151,846"
Peoria,IL,0,"1,011,840","123,057",0,0,0,"1,134,896","35,167",0,"109,236","60,444",0,"204,847","620,387","448,047","253,362","205,173","44,947","1,571,916","336,266","109,156","197,930","411,547","333,520","1,388,418"
Petaluma,CA,0,0,0,0,0,0,0,"423,177","32,366",0,0,0,"455,543",0,"8,617","22,824","20,100","17,074","68,614",0,"149,631","54,233","21,272",702,"225,838"
Philadelphia,DE,"76,735","1,478,178","294,949","95,122","4,319","10,939","1,883,508","311,146","58,199","22,919","8,200",683,"401,148","400,894","105,534","97,839","27,145","28,452","659,864","348,580","215,934","283,022","325,080","180,329","1,352,946"
Philadelphia,MD,"8,706","289,820","14,550","21,160","5,950",0,"331,480","34,136",0,"1,269",0,0,"35,405","161,065","21,740","15,637","8,092","12,180","218,714","177,128","132,620","79,171","16,224","9,185","414,328"
Philadelphia,NJ,0,"1,079,193","167,922","117,700","101,880","13,905","1,480,600","941,118","136,218","96,515","12,681","14,305","1,200,838","279,770","242,128","211,139","107,040","132,518","972,595","1,057,125","396,106","1,927,313","1,302,114","1,177,813","5,860,470"
Philadelphia,PA,0,"8,683,037","1,638,570","2,271,181","566,553","249,418","13,408,759","384,724","146,796","206,292","104,331","18,399","860,544","45,816","132,944","271,735","139,880","115,542","705,917","496,758","965,405","2,564,214","3,646,209","2,773,730","10,446,315"
Phoenix--Mesa,AZ,"19,123,515","9,371,166","770,792","129,033",0,0,"10,270,991","16,676,474","1,452,454","931,896","58,433","13,492","19,132,749","2,449,354","1,815,491","2,231,408","1,041,120","811,658","8,349,030","2,166,194","2,898,090","5,223,943","2,222,252","1,465,080","13,975,558"
Pine Bluff,AR,"47,567","14,250","1,900","17,350","21,340","2,200","57,040",0,0,0,0,0,0,"11,287","5,983","14,319","11,384","9,020","51,994","29,848","123,254","217,459","51,915","42,878","465,354"
Pittsburgh,PA,0,"6,876,545","665,959","682,045","181,251","12,092","8,417,891","253,904","159,301","86,019","15,170","4,595","518,990","212,582","104,976","73,260","27,269","16,585","434,672","1,941,800","1,234,156","1,538,882","1,289,538","1,134,505","7,138,881"
Pittsfield,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,"115,367","52,540","50,912","19,963","12,671","251,454","17,871","2,784","362,363",0,0,"383,018"
Pocatello,ID,"9,532","262,921","45,180","22,870","1,800","2,550","335,321",0,0,0,0,0,0,"107,758","24,627","57,386","38,180","25,586","253,537","152,516","72,225","100,991","40,734",0,"366,466"
Port Arthur,TX,"294,530","88,302","60,218","20,566",0,0,"169,086","190,822","45,541","25,484","13,008",0,"274,856","190,650","70,739","64,664","25,347","18,511","369,911","207,810","6,632","107,524","26,169","52,207","400,343"
Porterville,CA,0,0,0,0,0,0,0,0,0,0,11,0,11,"99,974","23,075","6,596",0,"1,614","131,259","37,014","60,408","36,072","2,043","49,812","185,349"
Port Huron,MI,"16,782","203,897","15,172","10,030","5,718",0,"234,817","7,903","3,772","1,487","3,450",0,"16,612","132,222","93,428","70,134","21,067","15,535","332,387","622,762","28,797","159,602","5,027","23,539","839,727"
Portland,ME,0,"1,191,142","51,754","45,630","6,483",0,"1,295,009","89,851","8,862","15,407","3,056","1,918","119,094","118,841","112,713","115,101","102,385","53,142","502,181","195,909","142,867","354,518","234,888","193,784","1,121,967"
Portland,OR,"15,326","6,383,198","857,102","293,804","114,862","46,861","7,695,827","2,276,650","98,463","57,208","26,993","7,628","2,466,942","1,786,428","1,047,727","1,464,022","816,195","958,135","6,072,508","5,927,738","2,631,466","750,888","395,309","142,033","9,847,433"
Portland,WA,585,"1,368,069","213,801","133,949","21,459",0,"1,737,278","989,575","89,170","73,749","31,638","10,156","1,194,288","153,999","105,144","95,757","44,923","55,356","455,178","94,648","141,725","287,413","167,671","341,086","1,032,544"
Port St.    Lucie,FL,"9,116","798,610","6,351","9,288",0,0,"814,249","677,875","11,673","5,812","3,141",0,"698,501","281,677","288,549","226,978","40,469","15,633","853,306","1,262,901","215,779","613,220","66,926","66,237","2,225,062"
Portsmouth,ME,0,"96,963",0,"29,651",0,0,"126,614","5,459","1,449","3,127","1,669",352,"12,056","7,211",0,"8,364","3,213","2,515","21,304","67,920","30,921","41,967","8,136","5,894","154,838"
Portsmouth,NH,0,"960,836","15,016","19,848",0,0,"995,700","544,506","36,577","12,033","3,083",190,"596,388","79,482","41,404","37,088","17,436","6,212","181,621","27,211","204,088","707,826","18,148","12,698","969,970"
Pottstown,PA,0,0,0,0,0,0,0,"14,228","21,196","7,088","6,794",0,"49,305","55,126","52,751","33,287","18,210","15,529","174,903","76,530","55,577","80,020","32,206","10,500","254,834"
Poughkeepsie--Newburgh,NY,"1,992","1,669,646","89,829","93,443","33,419","27,273","1,913,610","1,111,071","115,426","102,611","74,905","5,484","1,409,496","250,406","184,479","204,752","112,884","29,310","781,831","444,563","552,252","954,648","362,113","183,706","2,497,283"
Prescott    Valley--Prescott,AZ,"645,832",0,0,0,0,0,0,"163,770","2,809",0,0,"1,151","167,729","403,236","82,757","25,703","1,628","11,422","524,746","73,583","23,321","19,067",31,0,"116,001"
Providence,MA,0,"187,337","4,524","6,487",811,"12,687","211,847","103,670","25,100","9,650","1,557","2,982","142,959","17,381","42,697","52,039","33,581","15,626","161,325","74,173","93,808","1,430,024","137,878","203,268","1,939,151"
Providence,RI,0,"3,738,531","531,618","299,165","204,482","71,983","4,845,780","1,167,201","359,772","253,940","71,802","30,047","1,882,763","101,382","102,009","374,185","290,698","269,984","1,138,259","139,558","173,429","744,775","744,655","914,239","2,716,656"
Provo--Orem,UT,"220,149","3,489,206","758,726","107,466",0,0,"4,355,398",0,0,0,0,0,0,"1,214,329","506,271","348,038","160,723","51,228","2,280,589","46,468","45,075","39,411","18,712","1,109","150,775"
Pueblo,CO,0,"426,841","45,646","43,048",0,0,"515,535","154,316","66,590","56,317","26,906","11,036","315,165","13,714","21,930","46,651","24,802","10,158","117,255","43,043","26,286","227,571","151,762","414,340","863,002"
Racine,WI,"11,296",0,"19,107",0,0,0,"19,107",0,0,0,0,0,0,"20,424","56,458","101,368","65,730","88,115","332,096","16,564","16,400","47,451","38,321","195,684","314,420"
Raleigh,NC,"553,751","5,794,686","1,049,670","521,445","59,297","19,150","7,444,248","1,502,643","205,660","195,779","30,771","29,100","1,963,953","3,362,276","891,099","633,604","192,129","239,251","5,318,359","1,988,486","2,010,644","1,883,912","569,179","165,535","6,617,755"
Rapid City,SD,0,"447,047","56,411","38,640","14,050","1,428","557,575","83,380","35,587","12,329",854,"1,555","133,706","76,668","43,581","70,740","46,924","27,048","264,962","90,261","81,157","137,348","180,426","195,920","685,112"
Reading,PA,0,"175,569","25,849","19,193","7,971","5,435","234,018","210,907","124,309","137,114","54,470","18,867","545,667","33,176","69,942","61,722","29,440","30,139","224,420","25,286","198,744","243,468","232,648","272,173","972,319"
Redding,CA,0,"516,333","7,690",0,0,0,"524,023","193,444","29,491","14,675","12,631","1,798","252,038","26,969","13,170","10,946","5,508","7,192","63,784","166,752",0,0,0,"431,086","597,838"
Reno,NV,0,"530,760","287,828","201,466","1,702",0,"1,021,755","377,929","53,446","66,267","19,039",0,"516,681","192,818","41,049","34,215","36,928","25,902","330,912","415,973","149,886","551,690","249,879","187,020","1,554,448"
Richmond,VA,"279,497","7,257,699","2,668,209","1,768,957","380,605","57,353","12,132,823","1,220,215","488,269","557,552","110,967","26,893","2,403,896","1,593,833","1,520,828","2,274,525","886,467","354,349","6,630,002","361,266","790,480","2,013,326","1,301,297","774,300","5,240,669"
Riverside--San    Bernardino,CA,0,"1,392,002","362,599","313,800","46,000","50,294","2,164,695","1,383,416","484,509","599,312","290,929","66,700","2,824,865","32,514","118,172","132,790","44,016","71,037","398,528","1,010,601","4,383,283","1,983,816","866,146","1,058,947","9,302,793"
Roanoke,VA,"52,152","1,727,501","250,217","129,662","19,980","2,606","2,129,966","167,740","10,468","9,004",0,0,"187,213","590,603","259,062","263,855","98,375","41,293","1,253,188","231,851","238,546","473,777","183,944","36,361","1,164,480"
Rochester,MN,"31,920",0,0,0,0,0,0,"142,760","228,667","140,377","9,537",0,"521,341","171,758","130,939","84,724","18,580","9,120","415,121","70,114","128,127","106,508","16,153","105,116","426,018"
Rochester,NY,"14,245","1,086,196","225,029","171,421","23,479","7,950","1,514,074","793,791","163,023","108,387","24,077","2,906","1,092,183","245,930","200,167","156,393","31,967","11,891","646,348","1,733,014","1,131,606","878,066","464,591","353,610","4,560,886"
Rockford,IL,0,"928,422","326,821","112,800",0,0,"1,368,043","278,355","30,969","1,068",0,0,"310,392","578,425","358,867","303,512","731,126","252,153","2,224,083","6,221","184,029","515,027","187,027","157,790","1,050,094"
Rock Hill,SC,0,"337,832","50,278","19,128",0,0,"407,238",0,"5,103","36,767","40,616",0,"82,486","36,576","87,243","70,044","27,935",760,"222,558","10,738","105,409","115,983","185,557","75,002","492,690"
Rocky Mount,NC,"26,897","119,539","7,700","2,485",0,0,"129,724","400,659","8,674","5,509","1,365",0,"416,207","276,214","71,570","57,361","21,351","18,709","445,205","244,106","75,999","102,120","39,272","31,720","493,217"
Rome,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,"673,877","97,092","71,241","46,107","40,551","928,868","261,645","25,431","24,989","4,656","8,674","325,395"
Round Lake    Beach--McHenry--Grayslake,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,040","2,170",851,851,0,"8,912",0,0,0,0,0,0
Sacramento,CA,0,"796,107","127,556","124,325","4,980",0,"1,052,969","1,630,475","207,645","85,440","27,046","12,727","1,963,333","51,354","22,924","69,822","30,031","29,953","204,083","279,757","372,733","1,985,952","417,929","1,381,032","4,437,402"
Saginaw,MI,153,"261,412","135,822","172,837","33,429","4,484","607,983",0,0,0,0,0,0,"63,371","44,596","89,220","80,644","51,183","329,015","391,975",0,"165,966",0,"420,339","978,280"
St.    Augustine,FL,"1,414",0,0,0,0,0,0,0,0,0,0,0,0,"281,023","21,263","30,121","3,188",710,"336,305","237,937","135,612","165,683","13,176","13,389","565,797"
St. Cloud,MN,"11,538","204,944","4,263","4,476",128,0,"213,810",0,0,0,0,0,0,"613,913","81,787","44,565","13,167","17,439","770,872","111,372","185,530","233,473","103,756","50,170","684,301"
St. George,UT,"152,545","538,953","28,564","3,013","3,695",0,"574,225","10,603","1,292",645,103,90,"12,733","2,428","35,452","48,175","4,135","1,952","92,142","148,388","36,530",0,0,0,"184,918"
St. Joseph,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,951",976,"3,255",0,0,"37,181","4,992","2,462","1,771","1,187",447,"10,858"
St. Joseph,MO,"13,007","150,325","15,581","11,990","9,042","4,105","191,042","32,492","4,005","9,763","3,869","3,180","53,309","106,188","33,181","19,008","8,451","4,699","171,527","28,210","35,630","60,802","49,164","65,751","239,557"
St. Louis,IL,0,"3,086,251",0,"1,086,288",0,0,"4,172,539","209,705","163,201","14,937",0,0,"387,842","1,404,708","828,862","565,795","93,044","74,054","2,966,462","370,757","327,546","1,167,054","356,821","87,389","2,309,567"
St. Louis,MO,"366,117","5,310,634","413,914","331,901","76,121","5,901","6,138,471","921,425","248,375","167,438","41,573","7,736","1,386,546","409,177","129,953","226,118","102,040","46,220","913,507","853,479","716,634","1,339,490","811,911","1,312,299","5,033,812"
Salem,OR,"3,504","1,059,895","151,318","21,288","6,516","10,333","1,249,350","326,537","31,448","12,241","1,338","4,794","376,358","329,006","268,955","274,721","149,197","152,955","1,174,833","608,304","195,119","295,683","125,988","50,638","1,275,732"
Salinas,CA,0,0,0,0,0,0,0,"247,589","153,377","122,107","10,010",0,"533,083","85,677","50,598","25,468","9,305","9,884","180,931","254,023","31,093","81,382","7,754","9,556","383,809"
Salisbury,DE,"1,280",0,0,0,0,0,0,0,0,0,0,0,0,"67,696","31,077","1,761","2,002","1,258","103,794","19,198","1,668","10,298","8,510","1,213","40,887"
Salisbury,MD,"37,825",0,0,0,0,0,0,"213,049","12,262","11,988",0,74,"237,374","187,660","5,087","20,115","8,876","15,469","237,207","54,792","77,156","109,209","33,278","52,525","326,960"
Salt Lake    City--West Valley City,UT,"1,421,301","3,091,743","2,187,301","2,353,014","305,062","15,121","7,952,240",0,0,0,0,0,0,"2,013,130","912,047","1,181,124","418,658","207,845","4,732,803","2,096,531","75,329","32,716","86,761","70,519","2,361,855"
San Angelo,TX,"90,888",0,0,0,0,0,0,"159,106","38,897","42,510","24,612","8,904","274,029","138,675","29,215","17,340","7,852","1,170","194,252","53,470","5,731","17,475","125,108","226,212","427,995"
San Antonio,TX,"28,226","3,124,896","389,083","206,236","27,556",0,"3,747,771","1,001,729","562,549","345,896","82,333","1,249","1,993,757","288,646","154,731","177,753","65,888","72,154","759,171","1,991,595","1,493,240","4,271,406","1,768,324","1,561,872","11,086,436"
San Diego,CA,0,"1,752,976","51,858","21,893","19,968","27,500","1,874,195","798,410","311,003","148,127","34,968","3,976","1,296,485","36,895","85,775","130,966","93,372","78,082","425,089","910,908","228,838","2,567,256","1,627,924","6,857,377","12,192,303"
San    Francisco--Oakland,CA,0,"298,056","102,758","171,096","55,970","12,700","640,579","1,113,096","365,475","271,366","60,486","113,561","1,923,984","11,422","45,047","95,254","85,921","146,507","384,151","983,657","142,012","2,291,840","2,101,970","4,923,288","10,442,767"
San Jose,CA,0,"722,225","147,078","113,389","25,100","72,616","1,080,408","1,232,562","537,058","319,537","77,751","29,565","2,196,473","710,909","71,250","110,407","69,702","109,357","1,071,625",0,0,"496,225","304,689","4,348,202","5,149,115"
San Luis    Obispo,CA,0,0,0,0,0,0,0,"193,219",0,0,"2,236",0,"195,454","18,469","2,180","36,102","16,604","8,799","82,155",356,"14,135","71,907","125,639","88,902","300,939"
San Marcos,TX,"16,962","535,124","20,112","59,841","8,462",0,"623,539",0,0,0,0,0,0,"72,579","25,792","25,871","12,424","22,194","158,859","36,152","85,065","207,953","96,136","59,652","484,958"
Santa    Barbara,CA,0,0,0,0,0,0,0,"987,015","137,105","48,972","7,638","7,205","1,187,935","33,713","20,125","37,718","14,027","25,257","130,839","19,856","109,040","122,709","47,757","110,883","410,244"
Santa    Clarita,CA,0,"266,674","280,996","306,791","60,331","29,900","944,692","572,202","15,600","25,087","4,429","24,652","641,970","115,564","67,314","36,911","27,327","24,174","271,290","24,871","71,240","76,391","300,951","144,051","617,504"
Santa Cruz,CA,0,0,0,0,0,0,0,"324,897","112,283","20,565","6,298","5,484","469,527","1,405","18,722","22,169","11,830","27,130","81,256","67,898","223,520","193,876","121,891","125,575","732,760"
Santa Fe,NM,"30,226","151,383",0,"10,775","2,230",0,"164,388",0,0,0,0,0,0,"135,337","31,067","27,480","5,192","7,582","206,658","48,139","77,663","214,514","46,211","50,434","436,962"
Santa Maria,CA,0,0,0,0,0,0,0,"347,296","5,300","1,917","9,933","4,655","369,101","72,076","25,162","21,915","7,038",0,"126,190","248,311","19,618","77,771","94,941","90,268","530,909"
Santa Rosa,CA,0,0,0,0,0,0,0,"650,001","193,743","97,459","9,575","3,183","953,960","124,016","56,684","73,535","44,295","47,204","345,735",0,"226,347","354,231","316,346","679,165","1,576,089"
Sarasota--Bradenton,FL,"1,520","990,655","17,433","9,688",0,0,"1,017,775",0,0,0,0,0,0,"648,313","214,095","100,487","21,872","6,920","991,687","775,305","493,899","1,301,817","203,844","135,039","2,909,904"
Saratoga    Springs,NY,"5,139","824,199","207,139","61,873",0,0,"1,093,211","8,396","25,406","3,810",572,"2,412","40,596","38,941","10,606","26,782","24,959","19,515","120,803","52,227","68,895","100,463","41,934",583,"264,101"
Savannah,GA,0,"2,387,787","223,518","158,094","63,197","8,884","2,841,480","3,389","8,908","36,890","7,933","1,879","58,999","1,224,542","273,359","257,901","137,785","150,955","2,044,543","83,558","50,621","134,496","49,957","33,392","352,025"
Scranton,PA,0,"1,496,522","360,291","255,712","130,889","88,061","2,331,474","126,043","22,142","32,141","19,589","3,627","203,543","51,418","41,800","126,256","52,359","26,777","298,610","142,002","249,812","310,286","298,072","418,753","1,418,926"
Seaside--Monterey,CA,0,0,0,0,0,0,0,"115,060","147,404","84,886","7,200","5,888","360,438","55,398","7,395","59,838","36,620","35,853","195,104","12,705","3,887","212,594","88,896","12,882","330,964"
Seattle,WA,"882,480","12,090,682","2,132,402","2,137,535","1,316,124","533,460","18,210,203","5,609,267","1,313,621","709,092","160,672","111,604","7,904,256","1,549,808","1,436,040","1,528,875","743,427","748,889","6,007,040","629,785","718,828","3,982,399","3,093,647","2,038,113","10,462,772"
Sebastian--Vero    Beach South--Florida Ridge,FL,"49,775",0,0,0,0,0,0,0,0,0,0,0,0,"260,763","37,797","42,869","9,544","3,774","354,748","597,214","110,264","341,840","15,565","11,483","1,076,367"
Sebring--Avon    Park,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,"278,449","25,683","1,852","1,385","3,552","310,921","79,948","1,986","90,914",0,0,"172,847"
Sheboygan,WI,"34,205","163,355","10,338","1,495",27,0,"175,215","36,458",0,0,0,0,"36,458","9,935","7,916","13,938","10,279","11,799","53,866",0,"22,397","13,551","25,944","193,262","255,155"
Sherman,TX,"332,262",0,0,0,0,0,0,"123,412","88,608","170,504","75,738","33,249","491,511","20,741","14,685","63,328","23,203",0,"121,958","16,466","82,707","101,155","36,558","2,731","239,618"
Shreveport,LA,"277,161","937,876","496,743","919,884","460,407","164,335","2,979,244","25,380","28,341","129,233","166,445","76,314","425,713","448,951","279,565","495,872","334,570","250,717","1,809,674","210,947","218,035","359,638","377,714","419,736","1,586,070"
Sierra    Vista,AZ,"170,972",0,0,0,0,0,0,0,0,0,0,0,0,"61,951","50,054","23,214","5,226","3,320","143,766","74,405","100,398","47,340",0,"2,949","225,093"
Simi Valley,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,"252,634","23,191",0,0,0,"275,825","167,691","370,739",0,"262,722",0,"801,153"
Sioux City,IA,"405,307","230,849","49,288","21,522","12,014",407,"314,081",0,0,0,0,0,0,"132,875","151,526","122,171","41,768","53,833","502,173",0,316,791,"44,015",0,"45,122"
Sioux City,NE,"51,942","38,900","1,432","1,869","2,175",0,"44,375",0,"7,022","20,909","13,357","11,275","52,563","1,064","2,455","19,952","15,585","10,045","49,101","27,258","19,039","10,537","2,410",0,"59,244"
Sioux City,SD,0,"70,442","21,425","14,510","3,401",0,"109,779",0,0,0,0,0,0,0,0,0,0,0,0,975,"1,562","5,094","4,546","2,131","14,307"
Sioux Falls,SD,621,"598,373","183,299","199,573","21,672",949,"1,003,866","12,973","4,302","3,533",0,641,"21,450","26,361","47,483","67,010","74,782","206,318","421,954","83,040","116,863","183,075","365,660","454,555","1,203,192"
Slidell,LA,"49,560","1,203,507","122,667","89,512","60,461","24,335","1,500,481",0,0,0,0,0,0,"62,226","67,562","47,707","13,711","38,240","229,446","103,331","79,998","108,117","57,733","49,250","398,428"
South Bend,IN,"2,106,814",0,0,0,0,0,0,"339,501","252,063","152,989","19,912","11,369","775,834","151,526","141,525","187,213","74,920","65,797","620,980","48,858","4,442","18,901","9,653",0,"81,853"
South Bend,MI,0,0,0,0,0,0,0,"10,050","1,260",0,"16,216","1,221","28,748","19,931","4,596","63,109","66,660","18,371","172,666","39,073","15,207","202,670","33,633","77,569","368,152"
South    Lyon--Howell,MI,0,"1,066,566","38,811","40,889","173,197","58,985","1,378,448","701,778","23,277","34,975","8,501","3,867","772,399","122,672","121,653","103,275","49,514","10,699","407,813","284,565","74,058","663,824","26,753","369,792","1,418,992"
Spartanburg,SC,0,"397,357","263,626","493,848",0,0,"1,154,831","200,348",0,0,0,0,"200,348","68,904","69,840","54,898","15,466",0,"209,108","157,102","151,258","663,853","58,841","58,218","1,089,273"
Spokane,WA,"3,489","1,446,389","276,284","138,116","11,875",0,"1,872,664","216,973","36,495","14,273","2,906",0,"270,646","531,015","150,619","153,476","160,144","141,035","1,136,288","216,302","211,686","437,217","178,780","375,559","1,419,545"
Springfield,IL,0,"1,195,304",0,0,0,0,"1,195,304",0,0,0,0,0,0,"502,013","286,027","161,823","90,659","20,527","1,061,049","79,807","90,167","330,014","155,633","204,138","859,759"
Springfield,CT,0,"685,292","8,311","1,958",0,0,"695,561","121,436","25,996","8,591","2,975","3,172","162,170","7,393","32,038","68,702","22,323","21,828","152,284","37,749","70,662","155,384","109,313","151,777","524,885"
Springfield,MA,"33,052","3,498,419","171,546","100,406","71,833","91,721","3,933,924","110,440","25,099","20,282","12,264","5,348","173,433","89,388","68,147","78,901","34,246","42,642","313,324","417,609","192,538","2,329,286","142,749","634,365","3,716,547"
Springfield,MO,"11,770","491,990","15,851","21,447","4,103",0,"533,391","1,533,577","154,167","115,256","20,983","10,393","1,834,375","258,154","87,089","128,061","44,720","22,392","540,416","153,379","212,185","297,862","140,442","136,947","940,814"
Springfield,OH,0,"264,960","18,786","3,881",0,0,"287,627","110,510","4,592","10,134",639,0,"125,875","41,892","16,507","37,814","7,396","9,271","112,881","130,529","124,563","62,961","68,860","71,677","458,591"
Spring Hill,FL,"71,597",0,0,0,0,0,0,"135,713","2,514",0,0,0,"138,227","443,522","52,035","24,380","4,140","4,823","528,899","584,925","82,220","205,521","310,513","6,722","1,189,902"
State    College,PA,0,"190,438","45,697","35,978","4,818",0,"276,931","18,459","1,571","2,797",0,0,"22,827","49,104","24,884","60,937","25,239","5,429","165,592","44,389","50,214","53,687","8,410",960,"157,660"
Staunton--Waynesboro,VA,0,"693,889","19,500","14,330",165,0,"727,884","65,897","13,626","1,784","1,183",141,"82,630","72,932","57,011","67,739","12,319","3,952","213,953","242,059","158,769","93,301","43,730","11,870","549,729"
Stockton,CA,0,"373,557",0,"29,711","25,934","10,500","439,702","113,375","68,009","49,531","49,337","14,800","295,051","48,979","32,135","26,973","12,978","51,813","172,878","100,115","41,885","170,012","58,646","130,238","500,896"
Sumter,SC,0,0,0,0,0,0,0,"29,636","4,254",0,0,0,"33,890","72,773","16,264","61,303","33,468","5,045","188,853","11,308","117,095","97,396","103,991","38,999","368,789"
Syracuse,NY,"8,015","1,156,405","140,879","112,654","22,119",0,"1,432,058","553,114","54,216","38,701","10,678","4,157","660,866","50,563","56,572","99,105","65,074","35,569","306,883","649,700","301,010","397,246","270,614","306,045","1,924,615"
Tallahassee,FL,"11,043","526,816","10,730","13,446",0,0,"550,991",0,0,0,0,0,0,"410,699","78,563","30,429","10,641","2,648","532,979","1,226,062","239,985","336,395","77,084","56,398","1,935,924"
Tampa--St.    Petersburg,FL,"1,114,655","3,800,340","154,220","69,682","1,643",0,"4,025,885","328,721","45,124","15,774","3,722",0,"393,341","1,015,939","202,310","99,613","31,170","7,677","1,356,709","12,793,240","1,505,907","3,364,620","3,000,128","1,183,572","21,847,467"
Temple,TX,"286,174","698,455","103,851","144,116","55,296","7,695","1,009,412","76,557","9,424","21,589",0,0,"107,570","286,103","81,862","50,277","17,327","15,804","451,373","319,195","31,091","87,561","42,119","44,568","524,535"
Terre Haute,IN,"999,099","219,996","6,645","15,857","10,232",0,"252,730",0,0,0,0,0,0,"406,714","84,788","107,413","59,165","42,760","700,839","52,336","22,131",0,0,"5,431","79,899"
Texarkana--Texarkana,AR,"11,237","126,275","22,523","14,499",0,0,"163,297",0,"8,760","3,600",0,0,"12,360","21,600","2,489","3,730","9,467","50,379","87,666",939,"42,685","66,101","79,333","6,953","196,012"
Texarkana--Texarkana,TX,"62,294","195,037","8,178","6,705","2,686",0,"212,606","3,185","15,028","3,196",0,0,"21,410","67,840","6,312","22,215","18,118","4,678","119,162","179,392","30,423","67,426","46,356",0,"323,598"
Texas City,TX,"366,153","442,808","179,621","112,528","55,988","5,204","796,150","28,743","9,999","52,866","37,490",0,"129,098","142,822","36,995","25,571","16,457","12,285","234,129","161,462","8,773","84,294","55,792","20,959","331,280"
Thousand    Oaks,CA,0,0,0,0,0,0,0,"266,292","64,625","324,343","130,631","30,217","816,108","34,870","10,632","36,814","50,451","19,835","152,602","542,932","108,581","92,771","25,245","325,771","1,095,300"
Titusville,FL,"134,382","220,185",0,0,0,0,"220,185","6,650",0,111,0,0,"6,761","172,522","28,575","16,630",794,200,"218,719","114,283","41,040","8,426","3,396","172,541","339,687"
Toledo,MI,0,"37,646","10,230","10,230","4,194",0,"62,301","15,033","48,480","8,987",0,0,"72,500","17,810","16,506","11,893","3,821",0,"50,029","32,218","11,505","146,537",664,"246,853","437,777"
Toledo,OH,0,"726,191","124,464","123,158","18,471","12,014","1,004,297","149,674","18,799","2,284",0,0,"170,758","74,643","84,370","87,581","30,759","22,328","299,681","486,109","238,964","528,827","238,682","537,412","2,029,994"
Topeka,KS,"38,609","177,787","202,416","177,240","23,122","4,340","584,905","200,414","39,169","30,186","10,532","1,242","281,543","26,157","7,748","31,110","24,265","17,064","106,344","40,835","98,307","256,900","221,582","538,613","1,156,237"
Tracy,CA,0,"100,095",0,"6,840","5,225",0,"112,160",0,0,0,0,0,0,"16,537","5,004","14,257","19,675","12,185","67,659","12,770","12,770","3,154","14,495","173,492","216,681"
Trenton,NJ,595,"951,917","110,265","61,710","18,690",0,"1,142,583","223,532","72,085","43,579","8,262","7,848","355,306","175,381","74,117","62,438","81,786","54,438","448,160","251,215","238,077","491,101","285,266","475,852","1,741,511"
