,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
66,Burlington,NC,0,18,0,0,0,0,19,0,0,0,0,0,0,5,6,8,3,4,26,17,11,22,5,6,61,,,,,,
67,Burlington,VT,1,24,1,1,0,0,26,4,1,2,1,0,8,4,3,2,1,2,13,14,16,12,7,3,53,,,,,,
68,Camarillo,CA,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,1,1,1,4,19,1,2,0,12,33,,,,,,
69,Canton,OH,0,10,0,1,0,0,11,9,2,1,0,0,13,10,5,4,4,3,27,57,23,34,41,77,232,,,,,,
70,Cape Coral,FL,1,13,0,0,0,0,13,3,1,0,0,0,3,32,5,2,1,0,40,113,27,104,4,1,249,,,,,,
71,Cape Girardeau,IL,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
72,Cape Girardeau,MO,3,10,1,0,0,0,11,1,1,0,0,0,2,3,1,1,0,0,5,0,0,0,0,1,1,,,,,,
73,Carbondale,IL,0,3,1,0,0,0,4,0,0,0,0,0,0,29,6,3,2,0,40,4,2,25,4,6,41,,,,,,
74,Carson City,NV,0,2,0,0,0,0,3,2,0,0,0,0,2,6,0,0,0,0,6,13,7,5,1,2,28,,,,,,
75,Cartersville,GA,0,11,0,0,0,0,12,0,0,0,0,0,0,23,1,1,0,1,27,13,0,0,0,1,15,,,,,,
76,Casa Grande,AZ,12,10,1,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,7,6,6,1,2,22,,,,,,
77,Casper,WY,2,9,0,1,1,1,12,2,0,0,0,0,3,14,6,8,5,3,37,45,7,8,3,3,66,,,,,,
78,Cedar Rapids,IA,22,17,1,0,0,0,18,0,0,0,0,0,0,19,11,14,8,10,61,0,0,0,0,0,0,,,,,,
79,Chambersburg,PA,0,11,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,
80,Champaign,IL,0,20,0,0,3,0,23,0,0,0,0,0,0,14,11,13,3,3,43,2,6,35,18,11,71,,,,,,
81,Charleston,WV,8,22,3,2,1,1,28,0,0,0,0,0,0,27,12,16,6,3,63,62,7,57,14,5,144,,,,,,
82,Charleston--North Charleston,SC,0,15,3,1,1,0,19,2,0,1,0,0,3,13,11,8,1,1,34,20,51,42,24,6,143,,,,,,
83,Charlotte,NC,14,101,24,12,4,1,142,3,1,2,1,1,7,72,43,50,17,24,206,59,82,152,70,11,374,,,,,,
84,Charlotte,SC,0,6,1,0,0,0,7,0,0,0,0,0,0,0,10,7,1,0,19,4,8,8,8,0,28,,,,,,
85,Charlottesville,VA,2,7,1,0,0,0,8,3,1,1,0,0,6,6,5,6,4,1,22,2,4,9,6,5,26,,,,,,
86,Chattanooga,GA,0,9,1,0,0,0,10,0,0,0,0,0,0,16,1,1,1,1,19,9,8,8,1,2,27,,,,,,
87,Chattanooga,TN,44,12,1,0,0,0,14,15,1,2,1,0,19,14,8,4,1,1,29,39,7,14,6,22,88,,,,,,
88,Cheyenne,WY,2,19,8,4,2,1,33,0,0,0,0,0,0,17,9,8,3,3,39,54,11,15,5,19,105,,,,,,
89,Chicago,IL,0,245,69,56,2,2,373,17,2,12,2,0,33,329,329,524,233,193,1609,336,195,779,638,389,2336,,,,,,
90,Chicago,IN,108,17,10,6,2,0,36,2,1,1,0,0,4,86,26,35,20,17,185,3,2,0,0,0,5,,,,,,
91,Chico,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,1,14,2,5,12,10,15,45,,,,,,
92,Cincinnati,IN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
93,Cincinnati,KY,2,36,2,2,0,0,40,1,0,0,0,0,1,14,8,9,5,7,43,39,20,35,25,12,130,,,,,,
94,Cincinnati,OH,0,15,2,3,1,0,20,9,3,3,1,0,16,6,5,6,3,5,25,90,67,189,79,98,524,,,,,,
95,Clarksville,KY,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,,,,,,
96,Clarksville,TN,7,9,0,0,0,0,9,0,0,0,0,0,0,15,2,1,1,0,18,28,6,5,1,0,41,,,,,,
97,Cleveland,OH,0,22,3,2,1,0,29,11,3,2,1,0,17,3,3,8,6,9,29,91,68,153,135,236,683,,,,,,
98,Cleveland,TN,9,8,0,0,0,0,8,4,0,0,0,0,4,12,2,1,0,0,15,11,14,8,0,0,32,,,,,,
99,Coeur d'Alene,ID,5,14,1,1,0,0,16,0,0,0,0,0,0,12,1,2,1,1,16,117,25,30,12,5,189,,,,,,
