STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER FREEWAYS & EXPRESSWAYS ,,,,,,,,,,OTHER PRINCIPAL ARTERIAL ,,,,,,,,,,MINOR ARTERIAL (3),,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Utah,-,0 ,4 ,3 ,1 ,1 ,-,0 ,-,9 ,326 ,163 ,409 ,143 ,66 ,33 ,12 ,6 ,5 ,838 ,2 ,40 ,195 ,147 ,107 ,87 ,47 ,19 ,14 ,655 
Vermont,-,0 ,1 ,0 ,-,-,-,-,-,2 ,1 ,57 ,143 ,50 ,27 ,13 ,7 ,6 ,7 ,311 ,5 ,167 ,316 ,74 ,50 ,30 ,25 ,21 ,44 ,727 
Virginia,7 ,15 ,51 ,11 ,2 ,1 ,0 ,0 ,0 ,81 ,23 ,153 ,681 ,265 ,104 ,41 ,17 ,9 ,4 ,"1,273 ",14 ,150 ,"1,528 ",901 ,342 ,148 ,59 ,37 ,18 ,"3,182 "
Washington,-,144 ,268 ,107 ,39 ,19 ,13 ,10 ,13 ,614 ,-,204 ,647 ,247 ,108 ,54 ,24 ,13 ,15 ,"1,312 ",10 ,285 ,705 ,394 ,249 ,179 ,85 ,68 ,56 ,"2,021 "
West Virginia,-,1 ,5 ,2 ,1 ,0 ,0 ,-,-,9 ,5 ,92 ,401 ,216 ,127 ,66 ,35 ,22 ,30 ,990 ,362 ,5 ,354 ,353 ,229 ,119 ,60 ,50 ,27 ,"1,197 "
Wisconsin,-,36 ,34 ,26 ,25 ,12 ,5 ,3 ,1 ,142 ,-,670 ,977 ,528 ,335 ,164 ,96 ,64 ,97 ,"2,931 ",11 ,"1,038 ","1,019 ",734 ,640 ,444 ,273 ,194 ,404 ,"4,746 "
Wyoming,-,-,-,-,-,-,-,-,-,-,29 ,445 ,921 ,336 ,147 ,62 ,23 ,12 ,9 ,"1,955 ",4 ,194 ,557 ,235 ,112 ,64 ,29 ,19 ,17 ,"1,227 "
U.S. Total,72 ,"2,244 ","2,403 ",642 ,303 ,144 ,68 ,36 ,34 ,"5,876 ","1,463 ","24,161 ","36,561 ","13,340 ","6,742 ","3,488 ","1,686 ",986 ,"1,192 ","88,155 ","1,387 ","21,026 ","48,927 ","23,458 ","13,818 ","8,350 ","4,101 ","2,526 ","3,297 ","125,503 "
Puerto Rico (4),-,-,-,-,-,-,-,-,-,-,1 ,-,1 ,3 ,23 ,6 ,2 ,-,7 ,42 ,13 ,-,-,-,-,18 ,30 ,38 ,132 ,218 
Grand Total,72 ,"2,244 ","2,403 ",642 ,303 ,144 ,68 ,36 ,34 ,"5,876 ","1,464 ","24,161 ","36,562 ","13,343 ","6,765 ","3,494 ","1,688 ",986 ,"1,199 ","88,197 ","1,400 ","21,026 ","48,927 ","23,458 ","13,818 ","8,368 ","4,131 ","2,564 ","3,429 ","125,721 "
