Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
283.0,"U. Nebraska, Omaha",834.0,,275.0,,0.0,,65.0,,30.0,,0.0,,0.0,,185.0,,0.0,,0.0,,279.0,,0
284.0,U. North Dakota,821.0,,3.0,,379.0,,161.0,,0.0,,0.0,,0.0,,15.0,,0.0,,103.0,,160.0,,0
285.0,"Southern Illinois U., Edwardsville",812.0,,0.0,,430.0,,3.0,,0.0,,0.0,,0.0,,0.0,,44.0,,271.0,,64.0,,0
286.0,Oakland U.,787.0,,0.0,,0.0,,0.0,,0.0,,81.0,,0.0,,0.0,,0.0,,0.0,,706.0,,0
287.0,"U. Arkansas, Little Rock",770.0,,0.0,,47.0,,0.0,,0.0,,0.0,,0.0,,68.0,,0.0,,132.0,,523.0,,0
288.0,West Virginia State U.,766.0,,0.0,,77.0,,455.0,,0.0,,204.0,,0.0,,0.0,,0.0,,29.0,,1.0,,0
289.0,Middle Tennessee State U.,752.0,,0.0,,45.0,,46.0,,0.0,,55.0,,0.0,,61.0,,0.0,,79.0,,466.0,,0
290.0,Rowan U.,746.0,,0.0,,10.0,,0.0,,0.0,,6.0,,0.0,,0.0,,0.0,,730.0,,0.0,,0
291.0,Tuskegee U.,736.0,i,75.0,i,0.0,i,171.0,i,21.0,i,50.0,i,10.0,i,40.0,i,0.0,i,337.0,i,32.0,i,0
292.0,U. Richmond,734.0,,0.0,,25.0,,0.0,,0.0,,0.0,,274.0,,361.0,,0.0,,0.0,,74.0,,0
293.0,"U. North Carolina, Asheville",730.0,,0.0,,19.0,,0.0,,0.0,,645.0,,0.0,,0.0,,0.0,,0.0,,66.0,,0
294.0,"U. Nebraska, Medical Center",728.0,,0.0,,0.0,,728.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
295.0,"California Polytechnic State U., San Luis Obispo",727.0,,0.0,,259.0,,0.0,,0.0,,5.0,,0.0,,0.0,,350.0,,78.0,,35.0,,0
296.0,Montana Tech of U. Montana,711.0,,0.0,,661.0,,7.0,,0.0,,6.0,,0.0,,0.0,,0.0,,37.0,,0.0,,0
297.0,Baylor C. of Medicine,710.0,,0.0,,0.0,,710.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
298.0,Fordham U.,709.0,,0.0,,0.0,,0.0,,0.0,,0.0,,422.0,,50.0,,0.0,,0.0,,237.0,,0
299.0,Mercer U.,704.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,704.0,,0.0,,0
300.0,"U. Washington, Bothell",701.0,,0.0,,16.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,685.0,,0
301.0,North Carolina Agricultural and Technical State U.,695.0,,0.0,,0.0,,358.0,,0.0,,85.0,,0.0,,74.0,,0.0,,150.0,,28.0,,0
302.0,Western Carolina U.,687.0,,0.0,,320.0,,367.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
303.0,Uniformed Services U. of the Health Sciences,683.0,,0.0,,0.0,,683.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
304.0,Montclair State U.,682.0,,0.0,,47.0,,171.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,464.0,,0
305.0,"Indiana U.-Purdue U., Fort Wayne",666.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,666.0,,0
305.0,Texas Southern U.,666.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,18.0,,648.0,,0
307.0,Kennesaw State U.,650.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,36.0,,0.0,,0.0,,614.0,,0
308.0,North Carolina Central U.,649.0,,0.0,,15.0,,0.0,,0.0,,7.0,,0.0,,95.0,,0.0,,0.0,,532.0,,0
309.0,New York Medical C.,646.0,,0.0,,0.0,,646.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
310.0,Southeastern Louisiana U.,644.0,,0.0,,20.0,,257.0,,0.0,,1.0,,0.0,,149.0,,0.0,,0.0,,217.0,,0
311.0,Pepperdine U.,641.0,,0.0,,17.0,,8.0,,0.0,,0.0,,0.0,,592.0,,0.0,,0.0,,24.0,,0
311.0,"U. South Carolina, Aiken",641.0,,0.0,,0.0,,0.0,,0.0,,0.0,,131.0,,510.0,,0.0,,0.0,,0.0,,0
313.0,"U. California, Merced",633.0,,0.0,,16.0,,53.0,,0.0,,130.0,,1.0,,41.0,,0.0,,387.0,,5.0,,0
314.0,"California State U., Channel Islands",617.0,,0.0,,213.0,,0.0,,0.0,,202.0,,0.0,,0.0,,202.0,,0.0,,0.0,,0
315.0,Elizabeth City State U.,610.0,,4.0,,192.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,414.0,,0
