Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
113.0,"U. California, Riverside",12320,,8450,,10243,,0,,704,,3306,,688,,3160,,1458,,768,,159,
114.0,Illinois Institute of Technology,12001,,10462,,9987,,1057,,2406,,579,,243,,3095,,132,,437,,2038,
115.0,"U. Maryland, Baltimore County",7282,,8718,,9972,,0,,0,,4584,,0,,4469,,919,,0,,0,
116.0,"Louisiana State U., Baton Rouge",12566,,12768,,9963,,0,,0,,2146,,1807,,1314,,2087,,191,,2418,
117.0,"U. Texas, Dallas",9522,,10487,,9828,,0,,1334,,6,,0,,3276,,1871,,2818,,523,
118.0,U.S. Military Academy,6525,,5534,,9697,,0,,0,,0,,0,,4039,,2660,,0,,2998,
119.0,"U. Arkansas, Fayetteville",9997,,6635,,9649,,0,,1638,,1145,,1288,,3692,,659,,0,,1227,
120.0,"U. Nevada, Las Vegas",3921,,6965,,9461,,0,,0,,0,,2158,,1078,,6225,,0,,0,
121.0,Kansas State U.,11362,,9563,,9302,,145,,0,,1933,,1651,,1238,,2082,,0,,2253,
122.0,Wayne State U.,9752,,11019,,9291,,0,,2628,,1212,,1949,,1057,,2187,,0,,258,
123.0,Howard U.,7604,,7799,,9155,,0,,0,,248,,1501,,5495,,1256,,0,,655,
124.0,"U. Missouri, Columbia",13156,,9811,,9149,,0,,90,,204,,1897,,3775,,1409,,0,,1774,
125.0,"U. Alabama, Tuscaloosa",11127,,8398,,8829,,661,,0,,1056,,2381,,1620,,1729,,1382,,0,
126.0,U. Kansas,10002,,10982,,8826,,1201,,1295,,3689,,940,,1450,,120,,85,,46,
127.0,"U. Nevada, Reno",9084,,8418,,8727,,102,,0,,572,,4074,,1295,,741,,1062,,881,
128.0,"U. Illinois, Chicago",9434,,9791,,8700,,0,,2823,,480,,1253,,1831,,2313,,0,,0,
129.0,U. Cincinnati,15173,,11027,,8568,,1196,,505,,3133,,440,,1836,,1200,,253,,5,
130.0,George Mason U.,8112,,7279,,8549,,0,,3223,,0,,398,,1457,,0,,551,,2920,
131.0,Embry-Riddle Aeronautical U.,8795,,11315,,8431,,7838,,0,,0,,0,,0,,170,,0,,423,
132.0,"Brigham Young U., Provo",8227,,8700,,8359,,0,,0,,900,,1471,,2820,,2495,,0,,673,
133.0,U. Idaho,9104,,8021,,7751,,880,,222,,197,,3222,,468,,167,,502,,2093,
134.0,Oregon Health and Science U.,6931,,6234,,7692,,0,,7692,,0,,0,,0,,0,,0,,0,
135.0,South Dakota School of Mines and Technology,6623,,5903,,7639,,0,,0,,1346,,644,,374,,233,,2081,,2961,
136.0,"Oklahoma State U., Stillwater",13445,,11104,,7465,,0,,0,,1191,,3427,,812,,1521,,498,,16,
137.0,Ohio U.,7445,,7803,,7327,,4058,,500,,311,,1425,,378,,655,,0,,0,
138.0,Cleveland State U.,7805,,7741,,6929,,0,,5243,,187,,385,,572,,505,,0,,37,
139.0,"U. Puerto Rico, Mayaguez",4502,,5019,,6678,,0,,0,,2033,,1309,,1308,,188,,1366,,474,
140.0,Air Force Institute of Technology,6878,,7237,,6658,,1845,,0,,0,,160,,3513,,0,,584,,556,
141.0,George Washington U.,9345,,7043,,6572,,892,,402,,0,,455,,1386,,1800,,279,,1358,
142.0,Syracuse U.,6827,,5999,,6234,,0,,1377,,523,,1019,,2113,,1202,,0,,0,
143.0,U. Chicago,1190,,2396,,5759,,0,,0,,0,,0,,0,,0,,0,,5759,
144.0,U. Louisville,10054,,9512,,5738,,0,,1010,,1130,,715,,486,,337,,480,,1580,
145.0,"U. Massachusetts, Lowell",6728,,4740,,5706,,0,,0,,2285,,550,,1478,,1393,,0,,0,
146.0,U. Toledo,7074,,7100,,5645,,0,,178,,1083,,634,,0,,3750,,0,,0,
147.0,Rochester Institute of Technology,6475,,5751,,5634,,0,,216,,1075,,28,,968,,1480,,0,,1867,
148.0,Virginia Commonwealth U.,3848,,5388,,5557,,0,,756,,551,,0,,1202,,1806,,0,,1242,
149.0,U. Colorado Denver and Anschutz Medical Campus,1412,,8603,,5529,,0,,4595,,0,,278,,192,,380,,0,,84,
150.0,U. Maine,9333,,11536,,5456,,0,,0,,668,,309,,366,,644,,3465,,4,
151.0,U.S. Naval Academy,6076,,6513,,5343,,776,,0,,0,,0,,906,,1886,,0,,1775,
152.0,Portland State U.,4909,,6659,,5331,,0,,0,,0,,3575,,936,,572,,0,,248,
153.0,U. Vermont,5867,,5218,,5068,,1358,,292,,0,,2454,,0,,0,,0,,964,
154.0,"U. North Carolina, Charlotte",5816,,4759,,5025,,0,,0,,0,,707,,1134,,1903,,4,,1277,
155.0,Emory U.,5185,,4647,,4971,,0,,4971,,0,,0,,0,,0,,0,,0,
156.0,"California Polytechnic State U., San Luis Obispo",4278,,4729,,4470,,2491,,69,,0,,1401,,2,,127,,67,,313,
157.0,New York U.,0,,4188,,4429,,0,,0,,332,,780,,1614,,1044,,0,,659,
158.0,Wichita State U.,6189,,5796,,4427,,3137,,0,,0,,0,,398,,143,,0,,749,
159.0,"U. Texas, San Antonio",6046,,4630,,4213,,0,,116,,0,,642,,1368,,2007,,0,,80,
160.0,"U. North Texas, Denton",5279,,5068,,4175,,0,,0,,0,,0,,448,,375,,2960,,392,
