Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
415.0,U. of the Sciences Philadelphia,81,,84,,148,,39.0,,0.0,,0.0,,0.0,,39.0,,,0
415.0,Winthrop U.,9,,100,,71,,39.0,,0.0,,39.0,,0.0,,0.0,,,0
418.0,Morehouse C.,221,,39,,39,,38.0,,12.0,,0.0,,26.0,,0.0,,,0
418.0,Oberlin C.,63,,74,,28,,38.0,,11.0,,17.0,,10.0,,0.0,,,0
420.0,"Indiana U., South Bend",64,,61,,65,,37.0,,0.0,,3.0,,34.0,,0.0,,,0
420.0,Texas Woman's U.,45,,56,,47,,37.0,,0.0,,0.0,,37.0,,0.0,,,0
422.0,Saint Louis U.,377,,553,,252,,36.0,,0.0,,13.0,,1.0,,22.0,,,0
422.0,U. of Mary Washington,19,,ne,,ne,,36.0,,4.0,,4.0,,8.0,,20.0,,,0
424.0,Barnard C.,211,,166,,35,,35.0,,5.0,,0.0,,30.0,,0.0,,,0
424.0,"U. South Carolina, Beaufort",ne,,ne,,ne,,35.0,,0.0,,0.0,,0.0,,35.0,,,0
424.0,Washington and Lee U.,ne,,38,,ne,,35.0,,0.0,,20.0,,0.0,,15.0,,,0
427.0,Wake Forest U.,0,,0,,0,,33.0,,0.0,,29.0,,4.0,,0.0,,,0
428.0,Xavier U. Louisiana,10,,9,,25,,31.0,,0.0,,0.0,,31.0,,0.0,,,0
429.0,U. Rochester,66,,145,,121,,30.0,,0.0,,4.0,,0.0,,26.0,,,0
430.0,St. Olaf C.,8,,15,,18,,28.0,,6.0,,1.0,,0.0,,21.0,,,0
430.0,"U. Alaska, Southeast",0,,0,,0,,28.0,,0.0,,0.0,,0.0,,28.0,,,0
430.0,U. San Francisco,75,,82,,53,,28.0,,0.0,,0.0,,28.0,,0.0,,,0
433.0,U. Detroit Mercy,0,,ne,,0,,27.0,,3.0,,0.0,,0.0,,24.0,,,0
434.0,DePaul U.,39,,109,,56,,26.0,,0.0,,4.0,,5.0,,17.0,,,0
434.0,Lamar U.,0,,3,,10,,26.0,,0.0,,0.0,,0.0,,26.0,,,0
434.0,Missouri U. of Science and Technology,0,,0,,14,,26.0,,26.0,,0.0,,0.0,,0.0,,,0
434.0,U. Hartford,73,,7,,0,,26.0,,26.0,,0.0,,0.0,,0.0,,,0
