Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec",Unnamed: 18,shift
159.0,"U. Montana, Missoula",3059,,2878,,1858,,2784.0,,0.0,,2254.0,,530.0,,0.0,,,0
160.0,"U. Texas, San Antonio",2725,,2443,,2202,,2716.0,,0.0,,1298.0,,1418.0,,0.0,,,0
161.0,"U. North Texas, Denton",2356,,2168,,2162,,2659.0,,0.0,,1589.0,,1070.0,,0.0,,,0
162.0,"U. Alabama, Birmingham",2707,,2525,,2514,,2646.0,,0.0,,679.0,,1967.0,,0.0,,,0
163.0,Wake Forest U.,2703,,2228,,2470,,2645.0,,0.0,,498.0,,2147.0,,0.0,,,0
164.0,"U. Puerto Rico, Mayaguez",3094,,3113,,3049,,2643.0,,0.0,,2341.0,,302.0,,0.0,,,0
165.0,Morehouse C.,1638,,2904,,2786,,2632.0,,0.0,,0.0,,108.0,,2524.0,,,0
166.0,U. Akron,3833,,3046,,2979,,2588.0,,0.0,,2582.0,,6.0,,0.0,,,0
167.0,New Jersey Institute of Technology,9153,,8584,,7308,,2496.0,,0.0,,590.0,,1906.0,,0.0,,,0
168.0,Missouri U. of Science and Technology,2502,,3544,,2579,,2486.0,,0.0,,1988.0,,498.0,,0.0,,,0
169.0,"Brigham Young U., Provo",3632,,3143,,2534,,2443.0,,0.0,,1160.0,,1283.0,,0.0,,,0
170.0,Northern Illinois U.,2585,,2732,,2440,,2436.0,,0.0,,379.0,,2057.0,,0.0,,,0
171.0,Mississippi State U.,1969,,2317,,2590,,2409.0,,0.0,,815.0,,1594.0,,0.0,,,0
172.0,Clark Atlanta U.,3662,,2760,,2582,,2387.0,,0.0,,1872.0,,515.0,,0.0,,,0
173.0,"Oklahoma State U., Stillwater",3237,,2354,,2246,,2344.0,,0.0,,1395.0,,949.0,,0.0,,,0
174.0,Texas Tech U.,4076,,3669,,2578,,2281.0,,0.0,,1496.0,,785.0,,0.0,,,0
175.0,Florida Institute of Technology,2424,,1961,,2347,,2248.0,,0.0,,831.0,,1417.0,,0.0,,,0
176.0,U. New Hampshire,2318,,2080,,1733,,2189.0,,0.0,,720.0,,1044.0,,425.0,,,0
177.0,Delaware State U.,2628,,2668,,2399,,2141.0,,0.0,,313.0,,1828.0,,0.0,,,0
178.0,New Mexico Institute of Mining and Technology,6167,,3050,,1911,,2135.0,,0.0,,595.0,,1540.0,,0.0,,,0
179.0,Oregon State U.,3616,,2399,,2171,,2129.0,,0.0,,1569.0,,560.0,,0.0,,,0
180.0,U. Denver,2901,,3154,,2508,,2069.0,,101.0,,1489.0,,479.0,,0.0,,,0
181.0,Southern Methodist U.,2017,,2254,,2164,,2067.0,,0.0,,316.0,,1751.0,,0.0,,,0
182.0,Bowling Green State U.,2851,,4146,,2134,,2060.0,,0.0,,1964.0,,96.0,,0.0,,,0
183.0,"SUNY, U. Albany",2689,,2473,,2472,,2038.0,,0.0,,1817.0,,221.0,,0.0,,,0
183.0,Youngstown State U.,1603,,1315,,1096,,2038.0,,0.0,,1628.0,,410.0,,0.0,,,0
185.0,Wright State U.,1975,,2041,,1856,,2003.0,,0.0,,315.0,,1688.0,,0.0,,,0
186.0,"U. Texas, Brownsville",4288,,6786,,3298,,1988.0,,1294.0,,0.0,,409.0,,285.0,,,0
187.0,Miami U.,822,,2317,,2209,,1974.0,,0.0,,1574.0,,190.0,,210.0,,,0
188.0,Alabama A&M U.,1843,i,1840,i,1838,i,1834.0,i,0.0,i,810.0,i,1024.0,i,0.0,i,,0
189.0,Texas State U.,878,,3337,,1437,,1797.0,,0.0,,1466.0,,270.0,,61.0,,,0
190.0,San Francisco State U.,1765,,1339,,1701,,1787.0,,395.0,,1004.0,,388.0,,0.0,,,0
191.0,U.S. Naval Academy,2016,,2642,,1803,,1765.0,,0.0,,1072.0,,693.0,,0.0,,,0
192.0,Oakland U.,2827,,2213,,1802,,1710.0,,0.0,,729.0,,981.0,,0.0,,,0
193.0,U. New Orleans,2890,,2199,,2756,,1688.0,,0.0,,1179.0,,509.0,,0.0,,,0
194.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1882,,2030,,2366,,1653.0,,0.0,,415.0,,1238.0,,0.0,,,0
195.0,"U. Massachusetts, Boston",1196,,1169,,1821,,1651.0,,0.0,,871.0,,780.0,,0.0,,,0
196.0,"U. North Carolina, Greensboro",1779,,1622,,1840,,1634.0,,0.0,,1514.0,,120.0,,0.0,,,0
197.0,U. South Dakota,3956,,3756,,2668,,1631.0,,0.0,,1320.0,,311.0,,0.0,,,0
198.0,U. Louisville,1439,,1622,,1501,,1625.0,,4.0,,1438.0,,180.0,,3.0,,,0
199.0,U. Idaho,1762,,1602,,1514,,1461.0,,309.0,,785.0,,367.0,,0.0,,,0
200.0,"CUNY, Brooklyn C.",2170,,1864,,1837,,1431.0,,0.0,,1097.0,,334.0,,0.0,,,0
201.0,U. Dayton,692,,1048,,1218,,1410.0,,0.0,,0.0,,1410.0,,0.0,,,0
202.0,"CUNY, Queens C.",1303,,1116,,1561,,1398.0,,0.0,,953.0,,445.0,,0.0,,,0
203.0,Baylor U.,1048,,1252,,1401,,1397.0,,0.0,,785.0,,612.0,,0.0,,,0
204.0,Duquesne U.,1657,,1178,,1408,,1372.0,,0.0,,1293.0,,79.0,,0.0,,,0
205.0,Western Kentucky U.,3295,,2502,,1568,,1295.0,,2.0,,1159.0,,134.0,,0.0,,,0
