Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
188.0,U. Toledo,30493,,52448,,59583,,66136,,66839,,70164,,63348,,63119,,56710,,48391.0,,0
189.0,"U. California, Office of the President",128770,,118910,,100034,,83006,,72542,,63420,,65627,,67447,,50103,,48233.0,,0
190.0,"Loyola U., Chicago",37669,,34940,,34568,,35126,,42120,,40994,,44785,,50150,,48996,,47000.0,,0
191.0,"Louisiana State U., Health Sciences Center – New Orleans",79927,,91498,,59473,,58237,,59776,,57007,,53712,,49443,,45486,,46840.0,,0
192.0,"U. North Texas, Health Science Center",25124,,28187,,28179,,29582,,38862,,45943,,46865,,44904,,47002,,46335.0,,0
193.0,Howard U.,36465,,38020,,36419,,32884,,38626,,41471,,44587,,41351,,38366,,45764.0,,0
194.0,"U. Puerto Rico, Medical Sciences Campus",38424,,38863,,35570,,34869,,39134,,64017,,45649,,43374,,40444,,43316.0,,0
195.0,Eastern Virginia Medical School,33013,,31453,,30777,,36678,,44420,,36569,,37745,,44183,,43917,,42296.0,,0
196.0,U. Southern Mississippi,39163,,47135,,47088,,46744,,41480,,45207,,54151,,44912,,45127,,41432.0,,0
197.0,Saint Louis U.,48133,,54265,,56644,,37983,,46589,,52134,,48303,,47174,,42316,,40831.0,,0
198.0,Van Andel Institute,ne,,ne,,ne,,ne,,ne,,ne,,ne,,ne,,ne,,40502.0,i,0
199.0,San Jose State U.,34687,,34241,,38521,,39339,,32947,,34075,,29554,,32100,,36354,,39833.0,,0
200.0,"U. Nevada, Las Vegas",57031,,56034,,50775,,39148,,42202,,37711,,33130,,34299,,38229,,39564.0,,0
201.0,"Texas Tech U., Health Sciences Center",22013,,21006,,24716,,37363,,51282,,58774,,61219,,61309,,36932,,39261.0,,0
202.0,U. South Alabama,19308,,25883,,28466,,29197,,30012,,36975,,34194,,34737,,33994,,38245.0,,0
203.0,"U. North Texas, Denton",14819,,14207,,15932,,19552,,22762,,34421,,40796,,43342,,39453,,38001.0,,0
204.0,U. Memphis,43715,,44359,,43183,,45747,,40589,,39315,,41841,,39306,,44351,,37539.0,,0
205.0,Portland State U.,28763,,26025,,27007,,35030,,40203,,41692,,40939,,38785,,39134,,36355.0,,0
206.0,Rochester Institute of Technology,22107,,20961,,24018,,28955,,33537,,29709,,31893,,32199,,31471,,36030.0,,0
207.0,U.S. Air Force Academy,10547,,14504,,44297,,48641,,54509,,70285,,43512,,49471,,41539,i,35157.0,,0
208.0,Missouri U. of Science and Technology,37384,,30395,,36477,,35466,,37259,,36325,,33797,,35400,,38509,,35144.0,,0
209.0,Northern Arizona U.,27632,,26566,,25820,,26183,,27281,,28581,,27078,,30134,,30903,,34731.0,,0
210.0,North Carolina Agricultural and Technical State U.,23698,,24044,,28781,,28540,,35216,,34725,,33963,,33251,,34160,,34514.0,,0
211.0,Worcester Polytechnic Institute,14483,,13409,,14912,,14663,,17154,,20647,,18558,,23780,,26544,,33910.0,,0
212.0,Illinois Institute of Technology,22646,,22955,,22538,,23347,,34348,,40199,,32148,,36426,,30938,,33810.0,,0
213.0,Lehigh U.,33469,,36537,,37156,,33169,,34897,,29639,,28949,,31003,,32860,,33693.0,,0
214.0,"CUNY, Hunter C.",31308,,27046,,30402,,33267,,35751,,35645,,36085,,36741,,35702,,33483.0,,0
215.0,Morehouse School of Medicine,28378,,27886,,27077,,27392,,30669,i,33946,,37586,,36638,i,41858,,33367.0,,0
216.0,Stevens Institute of Technology,25848,,25684,,27317,,25116,,32230,,39973,,29893,,26788,,28917,,33042.0,,0
217.0,Mercer U.,19529,,18096,,19624,,21858,,26862,,28998,,31352,,28876,,30162,,32771.0,,0
218.0,"SUNY, Upstate Medical U.",37181,,39699,,36359,,33194,,43824,,39988,,35897,,34286,,33460,,32453.0,,0
219.0,"Brigham Young U., Provo",25973,,26653,,25664,,25497,,27766,,29980,,26499,,30076,,30797,,31849.0,,0
220.0,Florida A&M U.,34293,,16541,,24012,,25651,,30282,,33719,,31375,,33538,,29895,,31676.0,,0
221.0,"U. Massachusetts, Boston",21056,,25952,,30272,,36637,,39387,,31864,,28869,,29875,,30021,,30305.0,,0
222.0,Boise State U.,7848,,10947,,11222,,11955,,18045,,23519,,26885,,24027,,25351,,29955.0,,0
223.0,Texas State U.,7034,,7890,,11792,,15742,,19496,,19243,,24285,,26671,,25910,,29934.0,,0
224.0,"SUNY, Downstate Medical Center",31064,,29809,,32299,,29184,,32512,,41993,,43257,,39354,,33331,,28652.0,,0
225.0,"U. California, Merced",7527,,10945,,16802,,21421,,20730,,20307,,21826,,21730,,22612,,28278.0,,0
226.0,Alabama A&M U.,14431,,13672,,8959,,14752,,30297,,28813,i,28573,i,28335,i,28095,i,27855.0,i,0
227.0,"U. Puerto Rico, Mayaguez",21080,,19813,,20094,i,20375,,25536,,33509,,31143,,28041,,25920,,26986.0,,0
