Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec"
278.0,MGH Institute of Health Professions,ne,,ne,,ne,,3931,,0,,1300,,2466,,165,
279.0,"SUNY, C. of Optometry",3466,,3637,,3481,,3906,,0,,0,,3906,,0,
280.0,"California State U., San Marcos",3839,i,3836,,3274,i,3811,,469,,2101,,0,,1241,
281.0,Southern Connecticut State U.,0,i,545,i,2199,i,3678,i,0,i,1099,i,2290,i,289,i
282.0,"U. Missouri, Saint Louis",6759,,5126,,6706,,3660,,0,,2058,,579,,1023,
283.0,"SUNY, Polytechnic Institute",na,,na,,3702,,3658,,0,,3658,,0,,0,
284.0,Texas A&M U.-Corpus Christi,1428,,1446,,1548,,3600,,121,,2923,,556,,0,
285.0,"Columbia U., Teachers C.",1541,,2538,,3229,,3317,,0,,0,,0,,3317,
286.0,Roseman U. of Health Sciences,ne,,ne,,3021,,3287,,0,,0,,3287,,0,
287.0,C. of William and Mary and Virginia Institute of Marine Science,3899,,4375,,2933,,3257,,790,,2467,,0,,0,
288.0,"U. Puerto Rico, Mayaguez",3487,,3463,,3324,,3207,,1629,,1578,,0,,0,
289.0,"California State U., Fullerton",5173,,5139,,4121,,3178,,0,,999,,0,,2179,
290.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,2638,,2201,,2481,,3131,,0,,1780,,187,,1164,
