Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
99.0,U. Central Florida,215519.0,,88814.0,,7504.0,,100841.0,,8175.0,,3127.0,,7058.0,,,0
100.0,"U. Massachusetts, Amherst",213902.0,,103417.0,,26172.0,,69756.0,,7393.0,,5278.0,,1886.0,,,0
101.0,Wayne State U.,213878.0,,109586.0,,2744.0,,78172.0,,6596.0,,12123.0,,4657.0,,,0
102.0,Dartmouth C.,209646.0,,146233.0,,726.0,,41017.0,,6621.0,,10562.0,,4487.0,,,0
103.0,"U. South Carolina, Columbia",208736.0,,90453.0,,980.0,,100890.0,,9411.0,,7002.0,,0.0,,,0
104.0,Medical C. Wisconsin,199283.0,,109542.0,,554.0,,57423.0,,10135.0,,17659.0,,3970.0,,,0
105.0,U. Notre Dame,190954.0,,83710.0,,832.0,,71917.0,,4796.0,,14216.0,,15483.0,,,0
106.0,Kansas State U.,188721.0,,69918.0,,39492.0,,65000.0,,4676.0,,6210.0,,3425.0,,,0
107.0,U. Louisville,179499.0,,68069.0,,11038.0,,70150.0,,4999.0,,8844.0,,16399.0,,,0
108.0,Georgetown U.,176131.0,,88015.0,,2315.0,,44429.0,,7260.0,,23185.0,,10927.0,,,0
109.0,U. Delaware,175724.0,,114245.0,,10594.0,,38322.0,,5415.0,,4061.0,,3087.0,,,0
110.0,Utah State U.,175353.0,,120369.0,,26650.0,,18025.0,,4404.0,,566.0,,5339.0,,,0
111.0,"U. Tennessee, Knoxville",173533.0,,105417.0,,14061.0,,44246.0,,6333.0,,1784.0,,1692.0,,,0
112.0,U. Texas Medical Branch,173506.0,,98050.0,,2806.0,,50863.0,,3378.0,,18409.0,,0.0,,,0
113.0,Wake Forest U.,171926.0,,148451.0,,6071.0,,1153.0,,9013.0,,7151.0,,87.0,,,0
114.0,Clemson U.,171215.0,,53136.0,,20935.0,,73959.0,,18265.0,,4147.0,,773.0,,,0
115.0,"U. Texas Health Science Center, San Antonio",170277.0,,85940.0,,10817.0,,45250.0,,7856.0,,20414.0,,0.0,,,0
116.0,West Virginia U.,170145.0,,68731.0,,11426.0,,63673.0,,12107.0,,2281.0,,11927.0,,,0
117.0,Tufts U.,168314.0,,121428.0,,1219.0,,16861.0,,9151.0,,16935.0,,2720.0,,,0
118.0,Texas Tech U.,163897.0,,32987.0,,24767.0,,86682.0,,11033.0,,7566.0,,862.0,,,0
119.0,Florida International U.,163033.0,,76528.0,,9330.0,,69238.0,,2545.0,,4721.0,,671.0,,,0
120.0,North Dakota State U.,153542.0,,35482.0,,51839.0,,58394.0,,1761.0,,1406.0,,4660.0,,,0
121.0,Tulane U.,152658.0,,84166.0,,4063.0,,36030.0,,5290.0,,12029.0,,11080.0,,,0
122.0,"U. California, Santa Cruz",151713.0,,92870.0,,3262.0,,27921.0,,8571.0,,8595.0,,10494.0,,,0
123.0,U. Houston,150628.0,,58458.0,,32478.0,,38995.0,,9604.0,,7449.0,,3644.0,,,0
124.0,U. New Hampshire,144735.0,,92040.0,,4153.0,,36254.0,,8568.0,,3072.0,,648.0,,,0
125.0,Rice U.,144679.0,,74266.0,,8291.0,,33792.0,,10930.0,,13692.0,,3708.0,,,0
126.0,"U. California, Riverside",144511.0,,63515.0,,6270.0,,44435.0,,6726.0,,9683.0,,13882.0,,,0
127.0,"U. Nebraska, Medical Center",143999.0,,71920.0,,3058.0,,38596.0,,7585.0,,22840.0,,0.0,,,0
128.0,"U. Alaska, Fairbanks",142742.0,,81586.0,,8540.0,,45229.0,,4853.0,,1125.0,,1409.0,,,0
129.0,Georgia State U.,139596.0,,50122.0,,9953.0,,68931.0,,280.0,,10183.0,,127.0,,,0
130.0,"Auburn U., Auburn",135899.0,,48352.0,,31207.0,,42853.0,,6165.0,,1434.0,,5888.0,,,0
131.0,"U. Arkansas, Fayetteville",133660.0,,34288.0,,52041.0,,31782.0,,11097.0,,1514.0,,2938.0,,,0
132.0,U. Arkansas for Medical Sciences,132451.0,,50603.0,,5261.0,,53200.0,,1167.0,,0.0,,22220.0,,,0
133.0,New Mexico State U.,132377.0,,78903.0,,19122.0,,20732.0,,3846.0,,1941.0,,7833.0,,,0
134.0,"Oklahoma State U., Stillwater",129968.0,,38585.0,,28183.0,,56712.0,,5676.0,,569.0,,243.0,,,0
135.0,Drexel U.,128027.0,,69462.0,,4640.0,,40175.0,,3078.0,,10672.0,,0.0,,,0
136.0,Northeastern U.,122915.0,,80576.0,,1131.0,,26696.0,,8507.0,,5699.0,,306.0,,,0
137.0,Thomas Jefferson U.,119631.0,,58536.0,,966.0,,38545.0,,9315.0,,8145.0,,4124.0,,,0
138.0,U. Vermont,114547.0,,83733.0,,224.0,,22150.0,,2193.0,,5304.0,,943.0,,,0
139.0,"SUNY, U. Albany",111705.0,,79681.0,,2058.0,,16846.0,,866.0,,984.0,,11270.0,,,0
140.0,New Jersey Institute of Technology,110512.0,,55094.0,,3355.0,,44038.0,,1687.0,,4741.0,,1597.0,,,0
