"State, institutional control, system, and institution",All R&D expenditures,Unnamed: 2
Castleton State C.,254,
Johnson State C.,583,
Private,5266,
Green Mountain C.,150,i
Middlebury C.,1599,
Norwich U.,1985,
Saint Michael's C.,1532,
Virginia,1413223,
Public,1349044,
C. of William and Mary and Virginia Institute of Marine Science,61554,
Christopher Newport U.,1208,
George Mason U.,106410,
James Madison U.,3712,
Norfolk State U.,5348,
Old Dominion U.,65092,
Radford U.,490,
U. of Mary Washington,690,
"U. Virginia, Charlottesville",373218,
Virginia Commonwealth U.,218925,
Virginia Military Institute,307,
Virginia Polytechnic Institute and State U.,504282,
Virginia State U.,7808,
Private,64179,
Eastern Virginia Medical School,42296,
Edward Via C. of Osteopathic Medicine,2237,
Ferrum C.,182,
Hampton U.,14895,
Roanoke C.,602,
Sweet Briar C.,466,
U. Richmond,3069,
Washington and Lee U.,432,
Washington,1552181,
Public,1543418,
Central Washington U.,2581,
Eastern Washington U.,2973,
Evergreen State C.,441,
Northwest Indian C.,2530,i
U. Washington,1191838,
"U. Washington, Bothell",7657,
"U. Washington, Seattle",1180563,
"U. Washington, Tacoma",3618,
Washington State U.,333134,
Western Washington U.,9921,
Private,8763,
Bastyr U.,1409,
Gonzaga U.,1145,
Pacific Lutheran U.,370,
Seattle Pacific U.,1101,
Seattle U.,2847,
U. Puget Sound,725,
Whitman C.,653,
Whitworth U.,513,
West Virginia,201367,
Public (West Virginia Higher Education Policy Commission),199496,
Bluefield State C.,160,
Concord U.,445,
Marshall U.,19936,
Shepherd U.,200,
West Liberty U.,354,i
West Virginia School of Osteopathic Medicine,438,
West Virginia State U.,7365,
West Virginia U.,170145,
"West Virginia U., Institute of Technology",453,
Private,1871,
Future Generations Graduate School,150,i
Wheeling Jesuit U.,1721,
Wisconsin,1379714,
Public (U. Wisconsin System),1149001,
U. Wisconsin-Eau Claire,2051,
U. Wisconsin-Green Bay,1320,
U. Wisconsin-La Crosse,3615,
U. Wisconsin-Madison,1069077,
U. Wisconsin-Milwaukee,63414,
U. Wisconsin-Oshkosh,2236,i
U. Wisconsin-Platteville,970,i
U. Wisconsin-River Falls,408,i
U. Wisconsin-Stevens Point,4532,i
U. Wisconsin-Stout,614,
U. Wisconsin-Superior,150,i
U. Wisconsin-Whitewater,614,
Private,230713,
Alverno C.,457,
Beloit C.,316,
"Concordia U., Wisconsin",519,
Lawrence U.,393,
Marquette U.,24816,
Medical C. Wisconsin,199283,
Milwaukee School of Engineering,4524,
St. Norbert C.,405,
Wyoming,56996,
Public (Wyoming Department of Education),56996,
U. Wyoming,56996,
American Samoa,1337,
Public,1337,
American Samoa Community C.,1337,
Guam,6062,
Public (U. Guam Board of Regents),6062,
U. Guam,6062,
Puerto Rico,128177,
Public (U. Puerto Rico),102910,
"U. Puerto Rico, Cayey",1521,
"U. Puerto Rico, Humacao",784,
"U. Puerto Rico, Mayaguez",28100,
"U. Puerto Rico, Medical Sciences Campus",43316,
"U. Puerto Rico, Ponce",610,
"U. Puerto Rico, Rio Piedras",28579,
Private,25267,
Ana G. Mendez U. System,10008,
U. del Este,1174,
U. del Turabo,2473,
U. Metropolitana,6361,
"Carlos Albizu U., San Juan",188,i
Polytechnic U. Puerto Rico,406,
Ponce Health Sciences U.,7520,
"Pontifical Catholic U. Puerto Rico, Ponce",181,
U. Central del Caribe,6964,
Virgin Islands,20630,
Public,20630,
U. of the Virgin Islands,20630,
