Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
251.0,U. North Florida,4931,,2722,,1486,,1214.0,,3091,,839,,596,,380.0,,,,0
252.0,"California State Polytechnic U., Pomona",497,,476,i,511,,1118.0,,246,,165,,316,,851.0,,,,0
253.0,Northern Arizona U.,827,,890,,869,,1048.0,,169,,166,,171,,205.0,,,,0
254.0,U. Colorado Colorado Springs,953,,716,,1160,,1007.0,,739,,438,,992,,676.0,,,,0
255.0,U. Hartford,1562,,1201,,1056,,998.0,,1396,,997,,879,,747.0,,,,0
256.0,San Jose State U.,1482,,950,,1313,,993.0,,987,,680,,809,,532.0,,,,0
257.0,Bradley U.,1696,,2200,,984,,987.0,,622,,758,,441,,179.0,,,,0
258.0,"SUNY, C. of Environmental Science and Forestry",2347,i,2134,i,1707,i,976.0,,1684,i,1550,i,1095,i,327.0,,,,0
259.0,Kent State U.,751,,599,,634,,973.0,,659,,458,,517,,503.0,,,,0
260.0,U. del Turabo,536,,476,,916,,965.0,,399,,293,,251,,221.0,,,,0
261.0,"California State U., Long Beach",3214,i,2995,,2136,,954.0,,2046,i,1948,,452,,237.0,,,,0
262.0,Youngstown State U.,803,,644,,1499,,931.0,,72,,82,,466,,300.0,,,,0
263.0,U. Central Oklahoma,469,,445,,613,,914.0,,412,,402,,581,,731.0,,,,0
264.0,"U. Alaska, Anchorage",1718,,1758,,1257,,874.0,,899,,1127,,376,,393.0,,,,0
265.0,Hampton U.,707,,869,,829,,870.0,,707,,869,,829,,870.0,,,,0
266.0,Valparaiso U.,851,,50,,483,,866.0,,601,,37,,411,,766.0,,,,0
267.0,U. Oregon,2259,,1585,,827,,859.0,,55,,47,,45,,286.0,,,,0
267.0,Western Washington U.,684,,988,,583,,859.0,,682,,598,,324,,378.0,,,,0
269.0,Smith C.,474,,345,,569,,850.0,,166,,222,,504,,785.0,,,,0
270.0,"U. Missouri, Kansas City",914,,594,,589,,836.0,,405,,310,,257,,174.0,,,,0
271.0,Pace U.,0,,580,,843,,823.0,,0,,580,,544,,668.0,,,,0
272.0,"Arkansas State U., Jonesboro",967,,893,,603,,822.0,,441,,530,,357,,613.0,,,,0
273.0,"Indiana U.-Purdue U., Fort Wayne",710,,1058,,1197,,796.0,,368,,432,,164,,217.0,,,,0
274.0,Santa Clara U.,1263,,1006,,1343,,776.0,,852,,677,,858,,398.0,,,,0
275.0,U. Wisconsin-Stevens Point,437,,534,,564,i,770.0,i,0,,0,,0,i,349.0,i,,,0
276.0,"Pennsylvania State U., Harrisburg",299,,218,,560,,767.0,,169,,23,,135,,515.0,,,,0
277.0,Seattle U.,49,,ne,,614,,762.0,,15,,ne,,208,,253.0,,,,0
278.0,"U. Oklahoma, Tulsa",ne,,ne,,ne,,757.0,,ne,,ne,,ne,,347.0,,,,0
279.0,San Francisco State U.,991,,1541,,1104,,743.0,,417,,914,,514,,222.0,,,,0
280.0,New York Institute of Technology,185,,959,,1393,,709.0,,72,,887,,1269,,578.0,,,,0
281.0,Duquesne U.,0,,0,,132,,708.0,,0,,0,,34,,317.0,,,,0
282.0,"U. Tennessee, Health Science Center",651,,712,,550,,697.0,,0,,0,,0,,0.0,,,,0
283.0,Central Michigan U.,108,,377,,420,,634.0,,5,,125,,176,,339.0,,,,0
284.0,Oregon Institute of Technology,ne,,ne,,ne,,629.0,,ne,,ne,,ne,,0.0,,,,0
285.0,James Madison U.,1441,,1522,,694,,594.0,,1333,,1445,,567,,537.0,,,,0
286.0,"Minnesota State U., Mankato",1062,,1198,,942,,583.0,,532,,82,,91,,116.0,,,,0
287.0,Harvey Mudd C.,642,,642,,502,,582.0,,391,,381,,214,,262.0,,,,0
288.0,"U. Washington, Bothell",530,,0,,1,,562.0,,310,,0,,0,,0.0,,,,0
289.0,Swarthmore C.,415,,232,,378,,544.0,,46,,26,,150,,280.0,,,,0
290.0,East Carolina U.,416,,742,,493,,539.0,,79,,336,,292,,216.0,,,,0
290.0,"U. Missouri, Saint Louis",0,,0,,430,,539.0,,0,,0,,26,,130.0,,,,0
292.0,Western Kentucky U.,84,,375,,350,,515.0,,0,,3,,77,,334.0,,,,0
293.0,"U. Texas, Tyler",1924,,740,,2148,,503.0,,844,,317,,3,,23.0,,,,0
294.0,"California State U., Fullerton",617,,282,,329,,474.0,,310,,229,,291,,334.0,,,,0
295.0,"California State U., Northridge",1002,,601,,553,,461.0,,904,,558,,513,,431.0,,,,0
296.0,"Union C., Schenectady",258,,636,,892,,436.0,,140,,493,,828,,377.0,,,,0
297.0,"U. Massachusetts, Boston",198,,351,,233,,433.0,,155,,191,,120,,250.0,,,,0
298.0,U. of the Pacific,1624,,1152,,665,,423.0,,197,,90,,183,,201.0,,,,0
299.0,Lafayette C.,572,,435,,437,,417.0,,475,,374,,387,,305.0,,,,0
300.0,U. New Haven,401,,152,,449,i,401.0,,233,,152,,338,i,180.0,,,,0
301.0,U. Wisconsin-Oshkosh,0,,0,i,1110,i,381.0,i,0,,0,i,230,i,166.0,i,,,0
302.0,"U. North Carolina, Wilmington",4,,116,,187,,374.0,,0,,105,,184,,22.0,,,,0
303.0,Xavier U. Louisiana,230,,84,,94,,369.0,,132,,84,,94,,369.0,,,,0
304.0,"California State U., Fresno",313,,354,,310,,351.0,,187,,278,,216,,165.0,,,,0
305.0,Saginaw Valley State U.,462,,244,,ne,,344.0,,314,,153,,ne,,166.0,,,,0
306.0,"California State U., Chico",732,,933,,499,,335.0,,623,,739,,400,,249.0,,,,0
307.0,Benedict C.,1079,,1112,,1046,,327.0,,1079,,1090,,1010,,327.0,,,,0
308.0,"U. Maryland, Eastern Shore",91,,115,,259,,313.0,,58,,54,,259,,19.0,,,,0
309.0,"SUNY, Farmingdale State C.",693,,1896,,582,,308.0,,693,,1896,,582,,308.0,,,,0
310.0,Hope C.,50,,29,,49,,295.0,,44,,29,,43,,209.0,,,,0
311.0,Middle Tennessee State U.,993,,220,,140,,288.0,,737,,68,,75,,137.0,,,,0
312.0,Gonzaga U.,732,,227,,272,,263.0,,587,,75,,55,,20.0,,,,0
313.0,"U. Texas, Permian Basin",0,,0,,378,,256.0,,0,,0,,151,,75.0,,,,0
314.0,U. Tampa,ne,,240,,279,,247.0,,ne,,240,,278,,247.0,,,,0
315.0,U. of the Incarnate Word,ne,,ne,,ne,,236.0,,ne,,ne,,ne,,236.0,,,,0
316.0,"CUNY, C. Staten Island",119,,180,i,117,,230.0,,67,,133,,117,,186.0,,,,0
317.0,Fairfield U.,218,i,212,,403,,224.0,,3,i,3,,6,,8.0,,,,0
318.0,Missouri State U.,994,,451,,193,,223.0,,788,,443,,191,,179.0,,,,0
319.0,New School,0,,0,,0,,209.0,,0,,0,,0,,0.0,,,,0
319.0,Norwich U.,141,,304,,183,,209.0,,42,,190,,54,,36.0,,,,0
321.0,Florida Polytechnic U.,na,,na,,na,,208.0,,na,,na,,na,,203.0,,,,0
322.0,U. Wisconsin-Green Bay,206,i,204,i,204,i,201.0,i,139,i,130,i,121,i,111.0,i,,,0
323.0,Loyola Marymount U.,526,,365,,240,,198.0,,226,,213,,86,,47.0,,,,0
323.0,McNeese State U.,128,,107,,195,,198.0,,0,,6,,22,,47.0,,,,0
325.0,Franklin and Marshall C.,0,,0,,0,,164.0,,0,,0,,0,,164.0,,,,0
325.0,U. Metropolitana,0,,0,,0,,164.0,,0,,0,,0,,105.0,,,,0
327.0,Eastern Michigan U.,541,,265,,248,,162.0,,250,,144,,174,,121.0,,,,0
328.0,Central Connecticut State U.,83,,84,,94,,156.0,,66,,64,,62,,110.0,,,,0
329.0,Vassar C.,65,,144,,87,,151.0,i,65,,144,,87,,151.0,,,,0
330.0,"Rutgers, State U. New Jersey, Newark",897,,159,,53,,147.0,,714,,156,,53,,137.0,,,,0
330.0,U. Detroit Mercy,401,,ne,,386,,147.0,,301,,ne,,138,,42.0,,,,0
330.0,U. Houston-Downtown,151,,0,,0,,147.0,,137,,0,,0,,146.0,,,,0
333.0,"California State U., San Bernardino",517,,743,,0,,142.0,,258,,270,,0,,88.0,,,,0
334.0,U. Wisconsin-Platteville,ne,,ne,,578,i,140.0,i,ne,,ne,,80,i,63.0,i,,,0
335.0,Lake Superior State U.,ne,,ne,,ne,,135.0,,ne,,ne,,ne,,0.0,,,,0
336.0,Fayetteville State U.,127,,132,,128,,128.0,,127,,132,,128,,128.0,,,,0
337.0,"California State U., San Marcos",222,i,221,,163,i,121.0,,48,i,48,,11,,121.0,,,,0
338.0,Florida Gulf Coast U.,556,,512,,183,,118.0,,496,,485,,152,,91.0,,,,0
339.0,Ball State U.,156,,194,,89,,117.0,,38,,111,,1,,0.0,,,,0
339.0,Indiana State U.,30,,77,,92,,117.0,,30,,77,,92,,111.0,,,,0
341.0,"CUNY, Advanced Science Research Center",na,,na,,na,,112.0,,na,,na,,na,,70.0,,,,0
342.0,Texas Southern U.,968,,135,,119,,105.0,,894,,99,,88,,40.0,,,,0
343.0,"California State U., Bakersfield",0,,156,,273,,93.0,,0,,109,,96,,0.0,,,,0
344.0,West Virginia State U.,168,,257,,53,,92.0,,113,,201,,0,,29.0,,,,0
345.0,Central State U.,2075,,173,,142,,91.0,,1945,,90,,117,,91.0,,,,0
346.0,Grand Valley State U.,211,i,252,,211,,88.0,,94,i,118,,151,,32.0,,,,0
347.0,Texas Christian U.,45,,153,,165,,85.0,,4,,130,,97,,13.0,,,,0
348.0,Maine Maritime Academy,ne,,ne,,ne,,81.0,i,ne,,ne,,ne,,0.0,,,,0
348.0,U. San Diego,97,,86,,77,,81.0,,92,,83,,66,,44.0,,,,0
350.0,Suffolk U.,6,,7,,48,,79.0,,0,,0,,47,,79.0,,,,0
351.0,Keene State C.,1,i,1,,3,,77.0,,1,i,1,,3,,0.0,,,,0
352.0,Spelman C.,0,,0,,72,,72.0,,0,,0,,72,,72.0,,,,0
353.0,"Trinity C., Hartford",89,,169,,120,,67.0,,10,,104,,98,,54.0,,,,0
354.0,Calvin C.,238,,116,,65,,65.0,i,15,,5,,0,,0.0,i,,,0
355.0,Quinnipiac U.,63,i,64,i,ne,,62.0,i,32,i,30,i,ne,,27.0,i,,,0
356.0,Savannah State U.,0,,17,,61,,53.0,,0,,17,,61,,53.0,,,,0
357.0,East Central U.,0,,ne,,0,,52.0,,0,,ne,,0,,52.0,,,,0
357.0,St. Cloud State U.,17,,21,,12,,52.0,,0,,0,,0,,0.0,,,,0
359.0,Clark Atlanta U.,52,,5,,92,,51.0,,52,,5,,56,,51.0,,,,0
360.0,Christopher Newport U.,0,,0,,10,,50.0,,0,,0,,0,,50.0,,,,0
361.0,Sonoma State U.,ne,,0,,1,,45.0,,ne,,0,,0,,0.0,,,,0
362.0,Tarleton State U.,0,,0,,2,,44.0,,0,,0,,0,,0.0,,,,0
363.0,Trinity U.,19,,53,,44,,43.0,,0,,0,,0,,1.0,,,,0
364.0,Elon U.,7,i,9,i,40,,42.0,,0,,0,,32,,34.0,,,,0
365.0,U. West Florida,6,,7,,34,,39.0,,0,,0,,1,,2.0,,,,0
366.0,Jacksonville State U.,ne,,ne,,ne,,35.0,,ne,,ne,,ne,,0.0,,,,0
367.0,U. Southern Mississippi,397,,175,,169,,32.0,,275,,146,,65,,10.0,,,,0
368.0,Southeastern Louisiana U.,0,,0,,0,,28.0,,0,,0,,0,,0.0,,,,0
369.0,Kentucky State U.,0,,0,,3,,20.0,,0,,0,,3,,20.0,,,,0
370.0,"Purdue U., North Central",84,,2,,16,,17.0,,7,,0,,0,,0.0,,,,0
371.0,Western Carolina U.,88,,122,,42,,16.0,,49,,109,,38,,14.0,,,,0
372.0,"U. Alaska, Southeast",41,,22,,45,,14.0,,37,,17,,27,,14.0,,,,0
373.0,Seattle Pacific U.,12,,0,,0,,13.0,,0,,0,,0,,0.0,,,,0
374.0,"U. Texas, Brownsville",81,,33,,71,,10.0,,81,,31,,71,,10.0,,,,0
375.0,Azusa Pacific U.,0,i,ne,,ne,,9.0,,0,i,ne,,ne,,0.0,,,,0
375.0,Providence C.,ne,,0,,ne,,9.0,,ne,,0,,ne,,0.0,,,,0
375.0,Stephen F. Austin State U.,0,,0,,0,,9.0,,0,,0,,0,,0.0,,,,0
378.0,Bates C.,36,,12,,4,,8.0,,36,,12,,4,,8.0,,,,0
378.0,Gallaudet U.,44,,46,,47,,8.0,,44,,46,,47,,8.0,,,,0
380.0,"U. North Carolina, Asheville",0,,0,,0,,5.0,,0,,0,,0,,0.0,,,,0
381.0,Kennesaw State U.,0,i,0,,0,,4.0,,0,i,0,,0,,0.0,,,,0
382.0,"CUNY, Medgar Evers C.",0,,0,,107,,3.0,,0,,0,,76,,3.0,,,,0
382.0,Rhode Island School of Design,ne,,ne,,ne,,3.0,,ne,,ne,,ne,,0.0,,,,0
384.0,Morehead State U.,0,,0,,2,,2.0,,0,,0,,0,,0.0,,,,0
384.0,Western Illinois U.,3413,,686,,93,,2.0,,3413,,686,,93,,1.0,,,,0
386.0,Central Washington U.,4,,24,,30,,1.0,,0,,0,,30,,0.0,,,,0
386.0,"Oklahoma State U., Center for Health Sciences",0,,0,,0,,1.0,,0,,0,,0,,1.0,,,,0
386.0,Washington and Lee U.,ne,,0,,ne,,1.0,,ne,,0,,ne,,0.0,,,,0
All other surveyed institutions,287355,,391580,,1385,,0.0,,29139,,32717,,824,,0.0,,,,,-1
