Rank,Institution,All federal R&D expenditures,Unnamed: 3,DOD,Unnamed: 5,DOE,Unnamed: 7,HHS,Unnamed: 9,NASA,Unnamed: 11,NSF,Unnamed: 13,USDA,Unnamed: 15,Othera,Unnamed: 17,shift
170.0,C. of William and Mary and Virginia Institute of Marine Science,33129.0,,2872.0,,1580.0,,1189.0,,790.0,,7725.0,,142.0,,18831.0,,0
171.0,Texas Tech U.,32987.0,,7070.0,,2478.0,,3488.0,,630.0,,7284.0,,2738.0,,9299.0,,0
172.0,Syracuse U.,32378.0,,3789.0,,1745.0,,4642.0,,225.0,,15159.0,,336.0,,6482.0,,0
173.0,"U. Puerto Rico, Medical Sciences Campus",31889.0,,490.0,,0.0,,30173.0,,0.0,,1226.0,,0.0,,0.0,,0
174.0,"U. Texas, Dallas",31068.0,,6568.0,,1470.0,,10299.0,,3409.0,,8042.0,,24.0,,1256.0,,0
175.0,"U. Massachusetts, Lowell",31059.0,,8940.0,,738.0,,9611.0,,997.0,,5681.0,,0.0,,5092.0,,0
176.0,U.S. Air Force Academy,30637.0,,28160.0,,79.0,,0.0,,123.0,,348.0,,0.0,,1927.0,,0
177.0,Morehouse School of Medicine,30012.0,,240.0,,0.0,,29418.0,,235.0,,35.0,,16.0,,68.0,,0
178.0,Portland State U.,29987.0,,2438.0,,1582.0,,7468.0,,645.0,,6411.0,,1117.0,,10326.0,,0
179.0,"U. Alabama, Tuscaloosa",28988.0,,2389.0,,2995.0,,5208.0,,1118.0,,6566.0,,326.0,,10386.0,,0
180.0,Michigan Technological U.,28692.0,,10723.0,,1621.0,,886.0,,2174.0,,8560.0,,1597.0,,3131.0,,0
181.0,South Dakota State U.,28670.0,,351.0,,2523.0,,1946.0,,3686.0,,6540.0,,8572.0,,5052.0,,0
182.0,"U. Massachusetts, Boston",28653.0,,623.0,,349.0,,9603.0,,1103.0,,6469.0,,17.0,,10489.0,,0
183.0,Eastern Virginia Medical School,28637.0,,102.0,,0.0,,5784.0,,423.0,,11.0,,0.0,,22317.0,,0
184.0,"Loyola U., Chicago",28200.0,,1359.0,,108.0,,23510.0,,55.0,,1525.0,,168.0,,1475.0,,0
185.0,"U. Texas, Arlington",27712.0,,4466.0,,1740.0,,2348.0,,1017.0,,9216.0,,136.0,,8789.0,,0
186.0,Saint Louis U.,27580.0,,565.0,,0.0,,23040.0,,270.0,,1187.0,,35.0,,2483.0,,0
187.0,"U. Nevada, Las Vegas",27493.0,,2828.0,,8441.0,,7128.0,,731.0,,4080.0,,153.0,,4132.0,,0
188.0,U. Toledo,27085.0,,2320.0,,1448.0,,14177.0,,3558.0,,3805.0,,393.0,,1384.0,,0
189.0,Wright State U.,26931.0,,14640.0,,269.0,,8367.0,,371.0,,2747.0,,81.0,,456.0,,0
190.0,Worcester Polytechnic Institute,26327.0,,11048.0,,1596.0,,2786.0,,103.0,,7619.0,,5.0,,3170.0,,0
191.0,Stevens Institute of Technology,25980.0,,11330.0,,341.0,,1455.0,,183.0,,6328.0,,0.0,,6343.0,,0
192.0,Illinois Institute of Technology,25826.0,,2323.0,,7140.0,,9930.0,,156.0,,4371.0,,364.0,,1542.0,,0
193.0,U. Wisconsin-Milwaukee,25587.0,,791.0,,1627.0,,10426.0,,223.0,,8878.0,,430.0,,3212.0,,0
194.0,U. Southern Mississippi,25005.0,,5001.0,,40.0,,5180.0,,1317.0,,3718.0,,1116.0,,8633.0,,0
195.0,"Brigham Young U., Provo",24250.0,,5228.0,,948.0,,4396.0,,1303.0,,8339.0,,1429.0,,2607.0,,0
196.0,"U. Texas, San Antonio",23511.0,,5052.0,,397.0,,11978.0,,673.0,,3447.0,,393.0,,1571.0,,0
197.0,Boston C.,23352.0,,3366.0,,1000.0,,8316.0,,386.0,,6211.0,,0.0,,4073.0,,0
198.0,Lehigh U.,22910.0,,4765.0,,2675.0,,4795.0,,21.0,,8616.0,,0.0,,2038.0,,0
199.0,"U. North Texas, Health Science Center",22422.0,,173.0,,0.0,,17348.0,,0.0,,231.0,,0.0,,4670.0,,0
200.0,North Carolina Agricultural and Technical State U.,22413.0,,4513.0,,670.0,,812.0,,948.0,,9392.0,,5383.0,,695.0,,0
201.0,Alabama A&M U.,21982.0,,2847.0,i,1335.0,i,8574.0,i,645.0,i,3988.0,i,2005.0,i,2588.0,i,0
202.0,Mercer U.,21563.0,,18874.0,,0.0,,1975.0,,4.0,,6.0,,0.0,,704.0,,0
203.0,Loma Linda U.,21082.0,,3193.0,,154.0,,14897.0,,2833.0,,3.0,,0.0,,2.0,,0
204.0,"SUNY, Downstate Medical Center",20779.0,,931.0,,0.0,,19507.0,,0.0,,0.0,,0.0,,341.0,,0
205.0,Northern Arizona U.,20285.0,,3120.0,,512.0,,4001.0,,768.0,,4050.0,,2784.0,,5050.0,,0
206.0,Rochester Institute of Technology,20147.0,,3625.0,,599.0,,1807.0,,2228.0,,9320.0,,80.0,,2488.0,,0
207.0,New Mexico Institute of Mining and Technology,20018.0,,1730.0,,9727.0,,559.0,,1253.0,,6149.0,,0.0,,600.0,,0
208.0,Catholic U. of America,19900.0,,1466.0,,6703.0,,2861.0,,7145.0,,1313.0,,0.0,,412.0,,0
209.0,Jackson State U.,19656.0,,2492.0,,168.0,,7002.0,,203.0,,5796.0,,12.0,,3983.0,,0
210.0,U. of the Virgin Islands,19456.0,,0.0,,116.0,,3276.0,,4482.0,,4279.0,,3353.0,,3950.0,,0
211.0,"SUNY, Upstate Medical U.",19213.0,,1868.0,,0.0,,16969.0,,0.0,,42.0,,0.0,,334.0,,0
