Rank,Institution,All non-medical school R&D expenditures,Unnamed: 3,All medical school R&D expenditures,Unnamed: 5,All R&D expenditures,Unnamed: 7,shift
356.0,"California State U., Monterey Bay",5492.0,,0.0,,5492.0,,0
357.0,Southern Connecticut State U.,5482.0,i,0.0,i,5482.0,,0
358.0,Chapman U.,5353.0,,0.0,,5353.0,,0
359.0,Norfolk State U.,5348.0,,0.0,,5348.0,,0
360.0,Smith C.,5268.0,,0.0,,5268.0,,0
361.0,Alfred U.,5193.0,,0.0,,5193.0,,0
362.0,Stephen F. Austin State U.,5170.0,,0.0,,5170.0,,0
363.0,"Rutgers, State U. New Jersey, Camden",5123.0,,0.0,,5123.0,,0
364.0,"U. Massachusetts, central office",5056.0,,0.0,,5056.0,,0
365.0,U. Baltimore,5022.0,,0.0,,5022.0,,0
366.0,"California State U., Los Angeles",5010.0,,0.0,,5010.0,,0
367.0,West Chester U. Pennsylvania,5009.0,,0.0,,5009.0,,0
368.0,Texas Southern U.,5005.0,,0.0,,5005.0,,0
369.0,"Southern U. and A&M C., Baton Rouge",4766.0,,0.0,,4766.0,,0
370.0,Kennesaw State U.,4762.0,,0.0,,4762.0,,0
371.0,"Southern U. and A&M C., Agricultural Research and Extension Center",4761.0,,0.0,,4761.0,,0
372.0,Pace U.,4647.0,,0.0,,4647.0,,0
373.0,"Texas Tech U., Health Sciences Center, El Paso",4639.0,,14250.0,,18889.0,,0
374.0,"California State Polytechnic U., Pomona",4611.0,,0.0,,4611.0,,0
375.0,"U. Texas, Tyler",4610.0,,0.0,,4610.0,,0
376.0,U. Wisconsin-Stevens Point,4532.0,i,0.0,i,4532.0,i,0
377.0,Milwaukee School of Engineering,4524.0,,0.0,,4524.0,,0
378.0,West Texas A&M U.,4513.0,,0.0,,4513.0,,0
379.0,Gallaudet U.,4477.0,,0.0,,4477.0,,0
380.0,U. San Diego,4476.0,,0.0,,4476.0,,0
381.0,Amherst C.,4412.0,,0.0,,4412.0,,0
382.0,Western U. of Health Sciences,4406.0,,498.0,,4904.0,,0
383.0,Middle Tennessee State U.,4350.0,,0.0,,4350.0,,0
384.0,Fort Valley State U.,4320.0,,0.0,,4320.0,,0
385.0,Montclair State U.,4274.0,,0.0,,4274.0,,0
386.0,U. New England,4205.0,,3293.0,,7498.0,,0
387.0,"U. North Carolina, general administration",4197.0,,0.0,,4197.0,,0
388.0,St. Cloud State U.,4192.0,,0.0,,4192.0,,0
389.0,Bucknell U.,4140.0,,0.0,,4140.0,,0
390.0,U. of the Sciences Philadelphia,4076.0,,0.0,,4076.0,,0
391.0,U. Northern Iowa,4032.0,,0.0,,4032.0,,0
392.0,MGH Institute of Health Professions,3931.0,,0.0,,3931.0,,0
393.0,"SUNY, C. of Optometry",3906.0,,0.0,,3906.0,,0
394.0,Franklin and Marshall C.,3888.0,,0.0,,3888.0,,0
395.0,Appalachian State U.,3878.0,,0.0,,3878.0,,0
396.0,Lewis and Clark C.,3873.0,,0.0,,3873.0,,0
397.0,Mount Holyoke C.,3826.0,,0.0,,3826.0,,0
398.0,Texas A&M U.-Commerce,3755.0,,0.0,,3755.0,,0
399.0,"Pennsylvania State U., Behrend",3737.0,,0.0,,3737.0,,0
400.0,Grinnell C.,3723.0,,0.0,,3723.0,,0
401.0,James Madison U.,3712.0,,0.0,,3712.0,,0
402.0,U. North Florida,3689.0,,0.0,,3689.0,,0
403.0,Kettering U.,3673.0,,0.0,,3673.0,,0
404.0,U. Northern Colorado,3652.0,,0.0,,3652.0,,0
405.0,"U. Washington, Tacoma",3618.0,,0.0,,3618.0,,0
406.0,U. Wisconsin-La Crosse,3615.0,,0.0,,3615.0,,0
407.0,Missouri State U.,3540.0,,0.0,,3540.0,,0
408.0,Pomona C.,3538.0,,0.0,,3538.0,,0
409.0,U. Central Arkansas,3502.0,,0.0,,3502.0,,0
410.0,"Pennsylvania State U., Harrisburg",3379.0,,0.0,,3379.0,,0
411.0,Morehouse School of Medicine,3355.0,,30012.0,,33367.0,,0
412.0,Youngstown State U.,3348.0,,0.0,,3348.0,,0
413.0,Harvey Mudd C.,3272.0,,0.0,,3272.0,,0
414.0,Jacksonville State U.,3242.0,,0.0,,3242.0,,0
415.0,"California State U., Bakersfield",3192.0,,0.0,,3192.0,,0
416.0,Mills C.,3159.0,,0.0,,3159.0,,0
417.0,Towson U.,3153.0,,0.0,,3153.0,,0
418.0,"CUNY, Lehman C.",3130.0,,0.0,,3130.0,,0
419.0,"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",3089.0,,0.0,,3089.0,,0
420.0,Sam Houston State U.,3086.0,,0.0,,3086.0,,0
421.0,East Tennessee State U.,3080.0,,3850.0,,6930.0,,0
422.0,U. Richmond,3069.0,,0.0,,3069.0,,0
423.0,"CUNY, C. Staten Island",3060.0,,0.0,,3060.0,,0
424.0,Reed C.,3050.0,,0.0,,3050.0,,0
425.0,Fuller Theological Seminary,2998.0,,0.0,,2998.0,,0
426.0,Bowdoin C.,2991.0,,0.0,,2991.0,,0
427.0,Eastern Washington U.,2973.0,,0.0,,2973.0,,0
428.0,Calvin C.,2945.0,i,0.0,i,2945.0,i,0
429.0,Swarthmore C.,2943.0,,0.0,,2943.0,,0
430.0,Hope C.,2932.0,,0.0,,2932.0,,0
431.0,Texas A&M International U.,2917.0,,0.0,,2917.0,,0
432.0,Barnard C.,2916.0,,0.0,,2916.0,,0
433.0,Vassar C.,2854.0,,0.0,,2854.0,,0
434.0,Seattle U.,2847.0,,0.0,,2847.0,,0
435.0,Lamar U.,2824.0,,0.0,,2824.0,,0
436.0,Midwestern U.,2822.0,,5738.0,,8560.0,,0
437.0,Plymouth State U.,2807.0,,0.0,,2807.0,,0
438.0,Bates C.,2791.0,,0.0,,2791.0,,0
439.0,Northeast Ohio Medical U.,2774.0,,14329.0,,17103.0,,0
440.0,Rosalind Franklin U. of Medicine and Science,2745.0,,13859.0,,16604.0,,0
441.0,U. of the Pacific,2734.0,,0.0,,2734.0,,0
442.0,Colgate U.,2721.0,,0.0,,2721.0,,0
443.0,Pepperdine U.,2714.0,,0.0,,2714.0,,0
444.0,Tougaloo C.,2689.0,,0.0,,2689.0,,0
445.0,Southeastern Louisiana U.,2670.0,,0.0,,2670.0,,0
446.0,Naval War C.,2653.0,,0.0,,2653.0,,0
447.0,Rush U.,2646.0,,76402.0,,79048.0,,0
448.0,Haverford C.,2633.0,,0.0,,2633.0,,0
448.0,Trinity U.,2633.0,,0.0,,2633.0,,0
450.0,Elon U.,2608.0,,0.0,,2608.0,,0
451.0,U. San Francisco,2599.0,,0.0,,2599.0,,0
452.0,Hofstra U.,2585.0,,0.0,,2585.0,,0
453.0,Central Washington U.,2581.0,,0.0,,2581.0,,0
454.0,"St. John's U., Manhattan",2558.0,i,0.0,i,2558.0,,0
455.0,"California State U., Dominguez Hills",2557.0,,0.0,,2557.0,,0
456.0,"Toyota Technological Institute, Chicago",2543.0,,0.0,,2543.0,,0
457.0,Albany C. of Pharmacy and Health Sciences,2533.0,,0.0,,2533.0,,0
458.0,Northwest Indian C.,2530.0,i,0.0,i,2530.0,i,0
459.0,Lawrence Technological U.,2528.0,,0.0,,2528.0,,0
460.0,U. del Turabo,2473.0,,0.0,,2473.0,,0
461.0,U. Houston-Downtown,2459.0,,0.0,,2459.0,,0
462.0,"CUNY, Baruch C.",2451.0,,0.0,,2451.0,,0
463.0,Black Hills State U.,2430.0,,0.0,,2430.0,,0
464.0,"U. Oklahoma, Tulsa",2405.0,,1699.0,,4104.0,,0
465.0,Erikson Institute,2397.0,,0.0,,2397.0,,0
466.0,"U. North Carolina, Asheville",2384.0,,0.0,,2384.0,,0
467.0,Davidson C.,2377.0,,0.0,,2377.0,,0
468.0,Murray State U.,2371.0,,0.0,,2371.0,,0
469.0,"SUNY, Buffalo State",2366.0,,0.0,,2366.0,,0
470.0,Roger Williams U.,2348.0,,0.0,,2348.0,,0
471.0,"Touro U., Vallejo",2335.0,,771.0,,3106.0,,0
472.0,Texas Woman's U.,2310.0,,0.0,,2310.0,,0
473.0,National U.,2305.0,,0.0,,2305.0,,0
474.0,Alabama State U.,2303.0,,0.0,,2303.0,,0
475.0,A. T. Still U.,2294.0,,2277.0,,4571.0,,0
475.0,"Minnesota State U., Mankato",2294.0,,0.0,,2294.0,,0
477.0,Hamilton C.,2291.0,,0.0,,2291.0,,0
478.0,Elizabeth City State U.,2277.0,,0.0,,2277.0,,0
479.0,Colorado C.,2247.0,,0.0,,2247.0,,0
480.0,U. Wisconsin-Oshkosh,2236.0,i,0.0,i,2236.0,i,0
481.0,Pittsburg State U.,2210.0,,0.0,,2210.0,,0
482.0,Sul Ross State U.,2204.0,,0.0,,2204.0,,0
483.0,Wiley C.,2176.0,,0.0,,2176.0,,0
484.0,Franklin W. Olin C. of Engineering,2136.0,,0.0,,2136.0,,0
485.0,Austin Peay State U.,2113.0,,0.0,,2113.0,,0
486.0,Saint Joseph's U.,2093.0,,0.0,,2093.0,,0
487.0,"U. Illinois, Springfield",2070.0,,0.0,,2070.0,,0
488.0,Oregon Institute of Technology,2056.0,,0.0,,2056.0,,0
489.0,U. of the District of Columbia,2043.0,,0.0,,2043.0,,0
490.0,Northern Kentucky U.,2026.0,,0.0,,2026.0,,0
491.0,Philadelphia C. of Osteopathic Medicine,2023.0,,538.0,,2561.0,,0
492.0,Pacific U.,2016.0,,0.0,,2016.0,,0
493.0,Willamette U.,2007.0,,0.0,,2007.0,,0
494.0,Mercyhurst U.,1987.0,,0.0,,1987.0,,0
495.0,Norwich U.,1985.0,,0.0,,1985.0,,0
496.0,"California State U., Channel Islands",1949.0,,0.0,,1949.0,,0
497.0,Oberlin C.,1932.0,,0.0,,1932.0,,0
498.0,Furman U.,1928.0,,0.0,,1928.0,,0
499.0,Connecticut C.,1900.0,,0.0,,1900.0,,0
500.0,U. Detroit Mercy,1882.0,,0.0,,1882.0,,0
501.0,Grambling State U.,1863.0,,0.0,,1863.0,,0
502.0,Coastal Carolina U.,1862.0,,0.0,,1862.0,,0
503.0,Morehead State U.,1838.0,,0.0,,1838.0,,0
