Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All non-S&E fields,Unnamed: 8,Business and management,Unnamed: 10,"Communication, journalism, and library science",Unnamed: 12,Education,Unnamed: 14,Humanities,Unnamed: 16,Law,Unnamed: 18,Social work,Unnamed: 20,Visual and performing arts,Unnamed: 22,Other
331.0,U. Guam,164,,278,,131,,0,,0,,0,,0,,0,,0,,0,,131,
332.0,Cleveland State U.,241,,94,,130,,0,,0,,92,,38,,0,,0,,0,,0,
333.0,Alfred U.,21,,41,,129,,0,,0,,129,,0,,0,,0,,0,,0,
333.0,U. Northern Colorado,68,,98,,129,,0,,0,,128,,0,,0,,0,,1,,0,
335.0,Tarleton State U.,0,,118,,126,,0,,0,,126,,0,,0,,0,,0,,0,
336.0,Albany State U.,0,,0,,123,,0,,0,,123,,0,,0,,0,,0,,0,
337.0,"SUNY, Stony Brook U.",81,,297,,119,,56,,0,,0,,0,,0,,0,,63,,0,
338.0,Wright State U.,392,,315,,117,,0,,0,,117,,0,,0,,0,,0,,0,
339.0,Hampton U.,0,,0,,116,,99,,0,,0,,0,,0,,0,,0,,17,
340.0,Dickinson C.,225,,223,,115,,0,,0,,0,,0,,0,,0,,0,,115,
341.0,U. Northern Iowa,201,,87,,114,,0,,0,,114,,0,,0,,0,,0,,0,
342.0,Niagara U.,4,,119,,113,,0,,0,,8,,0,,0,,0,,0,,105,
343.0,Morgan State U.,56,,13,,112,,0,,0,,112,,0,,0,,0,,0,,0,
344.0,"California State U., Chico",14,,84,,111,,0,,0,,45,,66,,0,,0,,0,,0,
344.0,Michigan Technological U.,352,,374,,111,,0,,0,,106,,5,,0,,0,,0,,0,
344.0,Rensselaer Polytechnic Institute,105,,130,,111,,84,,0,,0,,0,,0,,0,,27,,0,
347.0,"Columbia U., Teachers C.",2,,0,,109,,0,,0,,109,,0,,0,,0,,0,,0,
347.0,Embry-Riddle Aeronautical U.,1550,,416,,109,,0,,0,,109,,0,,0,,0,,0,,0,
349.0,Morehouse C.,57,,0,,108,,0,,0,,0,,0,,0,,0,,0,,108,
350.0,Western U. of Health Sciences,33,,177,,107,,0,,0,,107,,0,,0,,0,,0,,0,
351.0,Christopher Newport U.,0,,39,,103,,0,,0,,0,,93,,0,,0,,10,,0,
351.0,Virginia State U.,104,,103,,103,,0,,0,,98,,5,,0,,0,,0,,0,
353.0,U. del Turabo,385,,103,,101,,0,,0,,101,,0,,0,,0,,0,,0,
353.0,"U. Montana, Missoula",196,,155,,101,,0,,0,,101,,0,,0,,0,,0,,0,
355.0,Barry U.,0,,0,,100,,0,,0,,0,,0,,0,,100,,0,,0,
356.0,U. Hartford,10,,0,,97,,0,,0,,97,,0,,0,,0,,0,,0,
357.0,Northern Kentucky U.,1,,22,,96,,0,,0,,66,,30,,0,,0,,0,,0,
358.0,"Oklahoma State U., Stillwater",0,,0,,87,,26,,0,,41,,19,,0,,0,,1,,0,
359.0,Georgia Southern U.,102,,124,,81,,0,,0,,81,,0,,0,,0,,0,,0,
359.0,U. South Alabama,382,,875,,81,,0,,0,,10,,0,,0,,0,,0,,71,
361.0,"U. North Carolina, Asheville",103,,2,,79,,0,,0,,20,,1,,0,,0,,0,,58,
362.0,U. Central Arkansas,865,,152,,78,,0,,0,,78,,0,,0,,0,,0,,0,
363.0,U. Wisconsin-Green Bay,88,i,82,i,75,i,5,i,0,i,49,i,0,i,0,i,16,i,5,i,0,i
364.0,Marshall U.,4,,28,,74,,0,,0,,74,,0,,0,,0,,0,,0,
365.0,U. Wisconsin-Stevens Point,0,,0,i,71,i,6,i,0,i,56,i,0,i,2,i,7,i,0,i,0,i
366.0,Tennessee Technological U.,433,,63,,70,,0,,0,,67,,3,,0,,0,,0,,0,
367.0,Southern Connecticut State U.,730,,0,,68,i,6,i,3,i,51,i,0,i,2,i,6,i,0,i,0,i
368.0,Indiana State U.,0,,0,,67,,0,,0,,67,,0,,0,,0,,0,,0,
368.0,Quinnipiac U.,75,i,ne,,67,i,6,i,0,i,60,i,0,i,1,i,0,i,0,i,0,i
