Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
170.0,Florida Institute of Technology,643,,1099,,1235,i,1072.0,,511,,778,,971,,757.0,,,,0
171.0,"Brigham Young U., Provo",1244,,944,,866,,1022.0,,876,,713,,666,,850.0,,,,0
172.0,"CUNY, Queens C.",476,,995,,1167,,1017.0,,457,,952,,1144,,906.0,,,,0
173.0,"U. Tennessee, Chattanooga",1083,,977,,1024,,994.0,,236,,246,,153,,252.0,,,,0
174.0,"SUNY, Polytechnic Institute",na,,na,,645,,992.0,,na,,na,,645,,992.0,,,,0
175.0,Alabama A&M U.,987,i,981,i,976,i,971.0,i,842,i,840,i,839,i,838.0,i,,,0
176.0,Desert Research Institute,0,,0,,116,,970.0,,0,,0,,0,,78.0,,,,0
177.0,San Francisco State U.,644,,881,,1126,,951.0,,166,,303,,484,,371.0,,,,0
178.0,"U. Alabama, Birmingham",1057,,1269,,1010,,940.0,,908,,1064,,828,,622.0,,,,0
179.0,Ball State U.,701,,835,,805,,899.0,,208,,389,,268,,389.0,,,,0
180.0,Dakota State U.,5671,,1418,,1273,,890.0,,3555,,807,,869,,615.0,,,,0
181.0,Tennessee Technological U.,204,,342,,542,,872.0,,169,,257,,311,,417.0,,,,0
182.0,West Virginia U.,409,,369,,462,,871.0,,266,,252,,310,,685.0,,,,0
183.0,Florida Atlantic U.,1621,,1422,,1369,,827.0,,318,,547,,532,,593.0,,,,0
184.0,"CUNY, system office",0,,0,,338,,821.0,,0,,0,,338,,821.0,,,,0
185.0,Baylor U.,471,,919,,574,,814.0,,122,,278,,191,,128.0,,,,0
186.0,U. Maine,1453,,1767,,607,,788.0,,0,,0,,3,,180.0,,,,0
187.0,Texas Southern U.,11,,1165,,1253,,746.0,,6,,1140,,1253,,707.0,,,,0
188.0,Tuskegee U.,0,,28,,311,i,744.0,i,0,,28,,126,i,554.0,i,,,0
189.0,Creighton U.,0,i,929,i,851,i,730.0,i,0,i,618,i,581,i,457.0,i,,,0
190.0,"Southern Illinois U., Carbondale",959,,723,,1001,,700.0,,220,,143,,141,,118.0,,,,0
191.0,"U. Puerto Rico, Rio Piedras",328,,249,,505,,697.0,,321,,67,,404,,619.0,,,,0
192.0,U. South Dakota,347,,391,,381,,650.0,,184,,223,,218,,153.0,,,,0
193.0,Bryn Mawr C.,807,,413,,500,,641.0,,487,,228,,322,,437.0,,,,0
194.0,Florida A&M U.,932,,1444,,830,,600.0,,904,,1444,,522,,579.0,,,,0
195.0,Norfolk State U.,1174,,938,,869,,565.0,,1109,,874,,869,,546.0,,,,0
196.0,U. Wisconsin-Milwaukee,1061,,1078,,562,,559.0,,534,,579,,92,,3.0,,,,0
197.0,U. Vermont,649,,621,,708,,537.0,,479,,514,,441,,271.0,,,,0
198.0,"Montana State U., Bozeman",616,,642,,805,,521.0,,404,,322,,594,,459.0,,,,0
199.0,"Rutgers, State U. New Jersey, Newark",515,,632,,420,,516.0,,477,,566,,352,,429.0,,,,0
200.0,Stephen F. Austin State U.,0,,0,,0,,509.0,,0,,0,,0,,460.0,,,,0
201.0,Oakland U.,844,,737,,686,,497.0,,213,,277,,281,,305.0,,,,0
202.0,South Dakota State U.,817,,0,,0,,494.0,,817,,0,,0,,494.0,,,,0
203.0,"California State U., Bakersfield",4,,97,,219,,490.0,,0,,5,,87,,410.0,,,,0
204.0,Towson U.,767,,766,,531,,489.0,,619,,635,,460,,400.0,,,,0
205.0,"California State U., San Marcos",511,i,510,,649,i,482.0,,349,i,349,,510,,482.0,,,,0
