Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
329.0,U. Wisconsin-La Crosse,133,,132,,87,,60,,118,,128,,55,,21,
329.0,Wellesley C.,18,,76,,110,,60,,18,,76,,107,,57,
334.0,U. San Francisco,0,,0,,0,,58,,0,,0,,0,,58,
335.0,Colorado C.,15,,4,,0,,57,,0,,0,,0,,35,
335.0,Fort Valley State U.,548,,315,,103,,57,,548,,315,,103,,57,
335.0,Southern Connecticut State U.,0,i,8,i,53,i,57,i,0,i,0,,19,i,21,i
335.0,U. Toledo,207,,60,,101,,57,,137,,37,,65,,0,
339.0,"St. John's U., Manhattan",0,,24,,88,,56,,0,,23,,71,,51,
340.0,U. West Florida,62,,42,,24,,53,,0,,0,,0,,0,
341.0,Stephen F. Austin State U.,19,,22,,43,,52,,6,,13,,0,,0,
342.0,"U. Arkansas, Little Rock",60,,77,,95,,51,,58,,62,,75,,45,
342.0,"U. Minnesota, Morris",ne,,7,,62,,51,,ne,,0,,0,,0,
344.0,Missouri State U.,55,,111,,127,,49,,55,,111,,127,,49,
345.0,Shaw U.,0,i,ne,,0,i,48,i,0,i,ne,,0,,43,i
345.0,"U. North Carolina, Wilmington",11,,26,,4,,48,,0,,25,,0,,32,
347.0,"Arkansas State U., Jonesboro",1,,6,,0,,45,,0,,2,,0,,0,
347.0,East Carolina U.,291,,179,,119,,45,,26,,61,,60,,45,
349.0,Pepperdine U.,37,i,39,i,44,,43,,0,,0,,18,,14,
350.0,St. Cloud State U.,22,,23,,20,,42,,0,,0,,0,,0,
351.0,C. Wooster,28,,ne,,43,,41,i,0,,ne,,27,,25,i
351.0,"SUNY, Geneseo",13,,11,,14,,41,,0,,0,,0,,6,
353.0,U. Wisconsin-Stevens Point,0,,0,,0,i,40,i,0,,0,,0,i,22,i
354.0,"California State U., Chico",188,,188,,164,,39,,178,,188,,163,,39,
354.0,Hope C.,64,,74,,10,,39,,42,,23,,0,,14,
354.0,Saint Michael's C.,ne,,112,,103,,39,,ne,,99,,96,,36,
357.0,Xavier U. Louisiana,115,,74,,73,,38,,115,,74,,73,,38,
358.0,C. of Saint Benedict,ne,,78,,14,,37,,ne,,0,,0,,0,
359.0,"U. Alaska, Fairbanks",77,,60,,74,,36,,75,,52,,57,,28,
360.0,Idaho State U.,5,,12,,45,,34,,0,,12,,45,,32,
360.0,"Saint John's U., Collegeville",ne,,72,,13,,34,,ne,,0,,0,,0,
362.0,"CUNY, Medgar Evers C.",14,,20,,10,,32,,0,,0,,0,,25,
363.0,Murray State U.,120,,79,,59,,31,,100,,64,,50,,31,
364.0,Marist C.,ne,,ne,,ne,,30,,ne,,ne,,ne,,24,
364.0,McNeese State U.,27,,38,,27,,30,,0,,0,,0,,0,
364.0,U. Houston-Clear Lake,33,,46,,40,,30,,33,,46,,40,,30,
364.0,U. South Alabama,57,,30,,22,,30,,57,,5,,0,,1,
368.0,Rider U.,31,,8,i,8,i,29,,27,,3,,2,,24,
368.0,Savannah State U.,133,,45,,132,,29,,130,,45,,131,,29,
368.0,U. San Diego,0,,0,,0,,29,,0,,0,,0,,26,
371.0,U. Southern Mississippi,32,,46,,40,,28,,10,,0,,0,,8,
372.0,Claflin U.,0,,28,,35,,27,,0,,28,,35,,23,
372.0,"U. Massachusetts, Boston",55,,55,,101,,27,,47,,36,,48,,2,
372.0,Vassar C.,4,,2,,0,,27,i,4,,2,,0,,0,
375.0,Quinnipiac U.,25,i,26,i,ne,,26,i,15,i,15,i,ne,,18,i
375.0,"U. Nevada, Las Vegas",112,,29,,10,,26,,112,,29,,0,,3,
375.0,Wichita State U.,331,,228,,117,,26,,305,,221,,100,,1,
378.0,"California State U., Dominguez Hills",439,,218,,33,i,25,,342,,173,,33,i,25,
378.0,"California State U., Fullerton",1000,,569,,795,,25,,690,,429,,628,,0,
378.0,Florida Gulf Coast U.,0,,0,,0,,25,,0,,0,,0,,25,
378.0,U. Richmond,808,,323,,44,,25,,100,,0,,0,,18,
378.0,U. Wisconsin-Green Bay,25,i,25,i,25,i,25,i,15,i,14,i,13,i,12,i
383.0,U. of the District of Columbia,14,,6,,0,,23,,14,,6,,0,,23,
384.0,"California State Polytechnic U., Pomona",0,,0,i,0,,21,,0,,0,,0,,20,
384.0,Furman U.,37,,27,,13,,21,,0,,0,,0,,0,
386.0,Salisbury U.,20,,15,,41,,20,,0,,0,,0,,0,
386.0,U. Wisconsin-Oshkosh,0,,0,i,27,i,20,i,0,,0,i,20,i,10,i
386.0,U. Wisconsin-Platteville,ne,,ne,,0,i,20,i,ne,,ne,,0,i,7,i
389.0,Colgate U.,58,,19,,44,,19,,15,,0,,0,,0,
389.0,"CUNY, John Jay C. of Criminal Justice",104,,9,,18,,19,,70,,0,,0,,9,
389.0,Eastern Connecticut State U.,ne,,ne,,76,,19,,ne,,ne,,0,,0,
392.0,New Mexico Institute of Mining and Technology,104,,139,i,67,,18,,104,,139,,67,,18,
393.0,Texas A&M U.-Commerce,2,,6,,8,,17,,0,,0,,0,,0,
394.0,Towson U.,64,,5,,0,,16,,64,,5,,0,,0,
394.0,U. of Mary Washington,0,,ne,,ne,,16,,0,,ne,,ne,,0,
396.0,Hamilton C.,0,,7,,17,,15,,0,,0,,0,,2,
397.0,Hawaii Pacific U.,14,,34,,17,,14,,6,,26,,17,,14,
397.0,Northern Arizona U.,107,,241,,137,,14,,83,,33,,0,,6,
397.0,Roger Williams U.,0,,0,,5,,14,,0,,0,,5,,14,
397.0,Rowan U.,8,,2,,40,,14,,0,,0,,0,,0,
397.0,"U. Michigan, Dearborn",13,,13,,9,,14,,0,,0,,0,,0,
397.0,"U. Washington, Bothell",0,,13,,1,,14,,0,,0,,0,,14,
403.0,Colby C.,90,,32,,15,,13,,68,,12,,0,,0,
404.0,Albany C. of Pharmacy and Health Sciences,0,,4,,318,,11,,0,,4,,264,,0,
404.0,"Purdue U., North Central",50,,74,,29,,11,,50,,73,,28,,11,
404.0,Siena C.,0,,28,,5,,11,,0,,0,,0,,0,
407.0,Texas Woman's U.,9,,1,,8,,10,,0,,0,,0,,0,
408.0,Franklin and Marshall C.,84,,194,,152,,9,,67,,102,,134,,0,
408.0,Pacific U.,0,,37,,6,i,9,,0,,5,,0,,0,
408.0,Washington and Lee U.,ne,,0,,ne,,9,,ne,,0,,ne,,0,
411.0,Appalachian State U.,149,,73,,105,,8,,59,,57,,80,,3,
411.0,Bradley U.,12,,9,,5,,8,,0,,0,,0,,0,
411.0,"California State U., San Marcos",22,i,22,,8,i,8,,22,i,22,,8,,7,
411.0,Western Carolina U.,0,,5,,9,,8,,0,,0,,0,,0,
415.0,Niagara U.,3,,2,,8,,7,,0,,0,,0,,0,
416.0,"Indiana U., South Bend",8,,4,,8,,6,,0,,0,,0,,0,
416.0,Oberlin C.,7,,0,,7,,6,,0,,0,,0,,0,
416.0,Saint Joseph's U.,43,,60,,26,,6,,28,,19,,4,,0,
416.0,Western Illinois U.,0,,0,,0,,6,,0,,0,,0,,0,
416.0,"Wheaton C., Wheaton",11,,ne,,3,,6,,0,,ne,,0,,0,
421.0,Northern Kentucky U.,0,,7,,3,,5,,0,,0,,0,,0,
421.0,"Southern U. and A&M C., Baton Rouge",23,,0,,0,,5,,23,,0,,0,,0,
421.0,U. Northern Iowa,47,,18,,14,,5,,0,,0,,0,,0,
424.0,"CUNY, York C.",29,,42,,ne,,4,,0,,0,,ne,,0,
424.0,Kettering U.,15,,11,,5,,4,,0,,0,,3,,0,
424.0,Sewanee: U. of the South,4,,ne,,6,,4,,0,,ne,,0,,0,
424.0,"SUNY, C. Brockport",45,,76,,7,,4,,40,,47,,1,,0,
428.0,Central State U.,67,,118,,82,,3,,67,,118,,82,,3,
428.0,Lamar U.,27,,28,,1,,3,,0,,20,,0,,0,
428.0,Santa Clara U.,0,,0,,0,,3,,0,,0,,0,,0,
428.0,U. North Florida,2,,12,,23,,3,,0,,0,,0,,0,
428.0,Western Kentucky U.,12,,11,,5,,3,,0,,0,,0,,0,
433.0,Dickinson C.,17,,20,,6,,2,,0,,0,,0,,0,
433.0,"U. North Carolina, Asheville",70,,48,,0,,2,,70,,48,,0,,0,
433.0,Youngstown State U.,61,,25,,3,,2,,59,,21,,0,,0,
436.0,Marshall U.,0,,0,,3,,1,,0,,0,,0,,0,
436.0,Saginaw Valley State U.,1,,2,,ne,,1,,1,,1,,ne,,1,
,All other surveyed institutions,4249,,3785,,2562,,0,,3075,,3074,,1140,,0,
