Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
268.0,"U. North Texas, Denton",953,,0,,280,,4,,109,,0,,275,,0,,115,,170,
269.0,"Indiana U.-Purdue U., Indianapolis",944,,0,,0,,95,,0,,0,,274,,12,,560,,3,
270.0,"Louisiana State U., Health Sciences Center – New Orleans",934,,0,,934,,0,,0,,0,,0,,0,,0,,0,
271.0,Southern Connecticut State U.,910,,48,i,618,i,28,i,60,i,16,i,51,i,0,i,0,i,89,i
272.0,Stockton U.,895,,885,,0,,0,,0,,0,,10,,0,,0,,0,
273.0,U. Northern Iowa,883,,57,,212,,0,,0,,0,,159,,9,,0,,446,
274.0,U. Wisconsin-La Crosse,875,,19,,123,,51,,147,,6,,133,,62,,0,,334,
275.0,Fisk U.,857,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i,857,i
276.0,U. Notre Dame,832,,0,,152,,5,,595,,6,,3,,0,,71,,0,
277.0,Illinois State U.,823,,3,,0,,0,,0,,0,,803,,0,,0,,17,
278.0,"CUNY, Queens C.",817,,0,,754,,26,,0,,0,,37,,0,,0,,0,
278.0,Xavier U. Louisiana,817,,0,,588,,24,,205,,0,,0,,0,,0,,0,
280.0,"California State U., Northridge",810,,0,,687,,0,,0,,18,,42,,0,,0,,63,
281.0,Duquesne U.,805,,0,,30,,25,,48,,0,,0,,0,,0,,702,
282.0,"Lincoln U., Jefferson City",804,,33,,771,,0,,0,,0,,0,,0,,0,,0,
283.0,Eastern Virginia Medical School,787,,0,,787,,0,,0,,0,,0,,0,,0,,0,
284.0,Tennessee State U.,783,,0,,68,,0,,170,,0,,23,,0,,177,,345,
285.0,Eastern Washington U.,782,,0,,12,,0,,0,,0,,770,,0,,0,,0,
286.0,Loma Linda U.,781,,0,,701,,0,,0,,0,,0,,0,,0,,80,
287.0,Duke U.,779,,85,,634,,2,,6,,0,,34,,0,,18,,0,
287.0,"U. California, Merced",779,,0,,5,,0,,0,,97,,10,,0,,667,,0,
289.0,"U. Tennessee, Chattanooga",775,,0,,0,,216,,0,,0,,0,,0,,559,,0,
290.0,Stevens Institute of Technology,770,,86,,0,,0,,0,,0,,0,,0,,684,,0,
290.0,Texas A&M International U.,770,,47,,27,,0,,5,,0,,4,,1,,0,,686,
292.0,U. New Haven,759,,19,,0,,0,,0,,0,,0,,0,,0,,740,
293.0,"Purdue U., Calumet",739,,0,,222,,6,,4,,0,,0,,0,,57,,450,
294.0,Bowling Green State U.,731,,21,,68,,0,,611,,0,,22,,0,,0,,9,
295.0,Dartmouth C.,726,,0,,726,,0,,0,,0,,0,,0,,0,,0,
296.0,Oregon Institute of Technology,725,,0,,0,,0,,0,,0,,6,,0,,21,,698,
297.0,U. New England,720,,3,,717,,0,,0,,0,,0,,0,,0,,0,
298.0,Niagara U.,714,,0,,0,,0,,0,,0,,118,,0,,0,,596,
299.0,Pittsburg State U.,707,,9,,19,,0,,0,,0,,0,,0,,679,,0,
300.0,Saint Joseph's U.,686,,3,,6,,0,,0,,0,,0,,0,,0,,677,
301.0,Michigan Technological U.,680,,140,,0,,0,,0,,0,,78,,0,,462,,0,
302.0,Coastal Carolina U.,658,,628,,0,,0,,0,,0,,0,,0,,0,,30,
303.0,Lawrence Technological U.,648,,0,,0,,0,,0,,0,,0,,0,,348,,300,
304.0,"U. Washington, Bothell",638,,41,,0,,0,,0,,0,,0,,0,,562,,35,
305.0,Rowan U.,634,,47,,197,,0,,0,,126,,0,,0,,264,,0,
306.0,Massachusetts Institute of Technology,631,,16,,242,,0,,0,,0,,0,,55,,318,,0,
307.0,"California State U., Long Beach",625,,4,,6,,0,,0,,526,,0,,42,,28,,19,
307.0,Florida Institute of Technology,625,,246,,18,,0,,0,,0,,0,,0,,361,,0,
309.0,"U. Arkansas, Little Rock",621,,5,,118,,104,,128,,0,,0,,0,,266,,0,
310.0,"SUNY, Downstate Medical Center",608,,0,,608,,0,,0,,0,,0,,0,,0,,0,
311.0,Alabama A&M U.,607,,27,i,343,i,16,i,33,i,9,i,28,i,0,i,102,i,49,i
312.0,Rockefeller U.,606,,0,,606,,0,,0,,0,,0,,0,,0,,0,
313.0,Central Connecticut State U.,598,,0,,0,,227,,0,,0,,371,,0,,0,,0,
314.0,Fayetteville State U.,596,,300,,0,,0,,0,,0,,0,,0,,0,,296,
315.0,U. San Diego,592,,0,,0,,0,,0,,0,,18,,0,,0,,574,
316.0,U. Houston-Clear Lake,568,,145,,7,,15,,1,,3,,2,,0,,0,,395,
317.0,U. North Florida,558,,45,,60,,4,,0,,0,,6,,0,,434,,9,
318.0,Medical C. Wisconsin,554,,0,,554,,0,,0,,0,,0,,0,,0,,0,
319.0,Morgan State U.,553,,0,,196,,0,,0,,0,,9,,0,,289,,59,
320.0,Wesleyan U.,525,,0,,525,,0,,0,,0,,0,,0,,0,,0,
321.0,Heidelberg U.,522,,522,,0,,0,,0,,0,,0,,0,,0,,0,
322.0,"CUNY, C. Staten Island",511,,0,,297,,5,,51,,0,,0,,0,,0,,158,
323.0,Vanderbilt U.,507,,0,,190,,0,,0,,0,,0,,280,,3,,34,
324.0,Chapman U.,506,,0,,0,,0,,0,,0,,0,,0,,0,,506,
325.0,"California State U., Chico",501,,0,,440,,0,,0,,0,,32,,0,,29,,0,
326.0,Appalachian State U.,499,,0,,298,,3,,125,,0,,6,,0,,0,,67,
326.0,Western Kentucky U.,499,,0,,130,,0,,302,,0,,0,,0,,0,,67,
328.0,"U. Puerto Rico, Mayaguez",492,,1,,0,,4,,0,,0,,0,,0,,487,,0,
