Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec"
299.0,Murray State U.,158,,191,,261,,264,,0,,222,,0,,42,
300.0,Illinois Institute of Technology,18,,103,,185,,256,,201,,0,,0,,55,
300.0,Skidmore C.,94,,614,,177,,256,,0,,237,,0,,19,
302.0,Saginaw Valley State U.,0,,7,,ne,,254,,0,,0,,0,,254,
303.0,St. Edward's U.,600,,620,,102,,250,,0,,0,,0,,250,
303.0,Williams C.,494,,258,,141,,250,,0,,180,,70,,0,
305.0,U. Wisconsin-Stevens Point,2685,,2107,,2130,i,247,i,0,i,247,i,0,i,0,i
306.0,U. Northern Iowa,201,,183,,182,,242,,0,,81,,0,,161,
307.0,Oberlin C.,301,,306,,325,,241,,0,,145,,0,,96,
308.0,St. Cloud State U.,49,,38,,185,,236,,71,,165,,0,,0,
309.0,U. Louisville,498,,356,,265,,235,,68,,7,,21,,139,
310.0,North Carolina Central U.,100,,100,,290,,226,,0,,226,,0,,0,
311.0,U. Colorado Colorado Springs,307,,316,,234,,222,,162,,60,,0,,0,
312.0,Colby C.,111,,89,,134,,220,,0,,76,,0,,144,
313.0,Hobart and William Smith Colleges,477,,339,,433,,217,,111,,33,,0,,73,
