Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
117.0,U. Kentucky,5011,,5252,,3970,,3601,,3030,,2945,,2704,,3007,
118.0,"Oklahoma State U., Stillwater",5056,,3950,,4354,,3585,,1938,,1303,,1278,,949,
119.0,"U. Puerto Rico, Rio Piedras",3684,,2685,,2890,,3468,,2826,,2009,,1900,,2454,
120.0,"U. North Texas, Denton",1719,,2212,,1985,,3418,,787,,1028,,927,,1070,
121.0,U. Kansas,4202,,4345,,3745,,3350,,3666,,3984,,3516,,2753,
122.0,"U. Texas, San Antonio",2222,,2273,,2105,,3245,,1426,,1672,,1290,,1418,
123.0,U.S. Air Force Academy,5149,,2820,,3558,i,3243,,4739,,2606,,3021,,2671,
124.0,Rochester Institute of Technology,1524,,1276,,1500,,3239,,1119,,971,,1243,,2379,
125.0,"SUNY, Binghamton U.",3173,,3715,,2892,,3225,,978,,739,,282,,445,
126.0,North Carolina Central U.,1100,,101,,1874,,3206,,1100,,101,,1874,,3166,
127.0,Mississippi State U.,2592,,2945,,3263,,3204,,971,,1380,,1716,,1594,
128.0,"CUNY, City C.",5156,,4137,,3710,,3148,,3448,,2594,,2546,,2587,
129.0,"Auburn U., Auburn",3761,,4135,,3217,,3120,,3010,,2350,,2667,,2329,
130.0,"U. Alabama, Tuscaloosa",2992,,2756,,3160,,3093,,2016,,1456,,1780,,2077,
131.0,U. Cincinnati,3001,,4383,,3814,,3076,,1744,,2708,,2478,,1920,
132.0,"U. Maryland, Baltimore County",2033,,2087,,3045,,3042,,1368,,1371,,2565,,2346,
133.0,"U. Nevada, Las Vegas",4109,,3382,,3947,,3037,,3975,,3294,,3283,,2911,
134.0,"U. North Carolina, Charlotte",2672,,2584,,2053,,2966,,1935,,2314,,1670,,2678,
135.0,Boston C.,4836,,3699,,2768,,2913,,3664,,2538,,1907,,1544,
135.0,U. Southern California,2285,,2010,,3063,,2913,,1800,,1734,,1640,,2118,
137.0,"U. Alabama, Huntsville",2616,,1942,,2493,,2769,,1963,,1246,,1129,,1391,
138.0,Wake Forest U.,2202,,2360,,2784,,2738,,1371,,1752,,2179,,2147,
139.0,"U. Missouri, Columbia",3639,,3269,,3803,,2722,,2847,,2375,,2666,,2184,
140.0,Baylor U.,1215,,1562,,2913,,2568,,403,,502,,902,,612,
141.0,George Washington U.,2622,,3374,,2607,,2494,,1596,,1255,,1640,,1560,
142.0,New Mexico State U.,1776,,2156,,1973,,2483,,1562,,1719,,1670,,2147,
143.0,Rockefeller U.,2859,,2820,,2334,,2418,,668,,530,,501,,317,
144.0,"California State U., Northridge",1978,,1928,,3198,,2369,,1827,,1862,,3168,,2344,
145.0,Jackson State U.,3134,,2931,,2022,,2332,,2749,,2683,,1458,,2021,
146.0,"U. Alabama, Birmingham",2663,,2323,,2379,,2222,,2213,,2062,,2126,,1967,
147.0,Tulane U.,1812,,1704,,1185,,2161,,808,,837,,793,,1529,
148.0,Wright State U.,2823,,2622,,2427,,2153,,1681,,1761,,1706,,1688,
149.0,Delaware State U.,1917,,1839,,2101,,2148,,1904,,1684,,1923,,1828,
150.0,Drexel U.,1881,,1502,,1500,,2147,,1714,,1038,,840,,1005,
151.0,Emory U.,2147,,1707,,1932,i,2138,,1634,,1192,,833,,880,
152.0,Northern Illinois U.,2267,,2454,,2552,i,2116,,2068,,2297,,1827,,2057,
153.0,Michigan Technological U.,3486,,3305,,1719,,2014,,1924,,1720,,361,,492,
154.0,Lehigh U.,1911,,2104,,2284,,1937,,1335,,1644,,1600,,1511,
155.0,Southern Methodist U.,2066,,2086,,1961,,1917,,1670,,1968,,1823,,1751,
156.0,Georgetown U.,2828,,2268,,1977,,1911,,2642,,2029,,1801,,1257,
157.0,"U. Texas, El Paso",1195,,1417,,1589,,1900,,821,,965,,986,,966,
158.0,"U. California, Merced",1907,,1212,,1230,,1893,,850,,715,,575,,731,
159.0,U. Wyoming,2282,,2278,,1611,,1865,,2214,,2022,,1611,,1606,
160.0,"Brigham Young U., Provo",1478,,1546,,1675,,1744,,1133,,1354,,1468,,1283,
161.0,"U. Texas, Dallas",3051,,1745,,1659,,1662,,965,,1282,,1200,,1253,
162.0,Tufts U.,1585,,1490,,1598,,1643,,1422,,1335,,1307,,1453,
163.0,New Mexico Institute of Mining and Technology,6382,,2463,i,1674,,1638,,5426,,2133,,1625,,1540,
164.0,"U. Missouri, Kansas City",2052,,1685,,1981,,1537,,1844,,1259,,1486,,1068,
165.0,"CUNY, Hunter C.",2243,,1840,,1503,,1500,,1429,,942,,888,,882,
166.0,Florida Institute of Technology,1930,,1612,,2220,i,1462,,1928,,1514,,1545,,1417,
167.0,U. Dayton,619,,1097,,1254,,1428,,570,,1018,,1218,,1410,
168.0,American U.,245,,203,,1439,,1417,,36,,0,,940,,1018,
169.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1497,,1567,,2008,,1413,,1423,,1449,,1758,,1238,
170.0,Virginia Commonwealth U.,1107,,1053,,1409,,1368,,1107,,1052,,1233,,1161,
171.0,Central Michigan U.,526,,815,,1190,,1318,,512,,439,,786,,921,
172.0,Marshall U.,475,,617,,389,,1310,,324,,432,,189,,66,
173.0,George Mason U.,2000,,2074,,1395,,1307,,1694,,1935,,1257,,1147,
174.0,U. Maine,3113,,2579,,3395,,1293,,1312,,876,,1151,,926,
175.0,Oakland U.,2248,,1541,,1448,,1247,,1646,,1248,,1148,,981,
176.0,U. South Dakota,3036,,2977,,1773,,1242,,1369,,1194,,561,,311,
177.0,U. Colorado Colorado Springs,435,,371,,409,,1222,,384,,324,,258,,555,
178.0,Alabama A&M U.,1240,i,1232,i,1225,i,1217,i,1029,i,1027,i,1026,i,1024,i
179.0,U. New Hampshire,1084,,1143,,1287,,1150,,980,,975,,1064,,1044,
180.0,"California State U., San Bernardino",101,,554,,615,,1098,,101,,442,,508,,859,
181.0,Worcester Polytechnic Institute,405,,497,,609,,1077,,280,,241,,324,,531,
182.0,Louisiana Tech U.,1337,,1113,,956,,1067,,669,,550,,424,,364,
183.0,Prairie View A&M U.,228,,127,,586,,994,,142,,43,,85,,119,
184.0,South Dakota School of Mines and Technology,161,,192,,93,,964,,161,,190,,55,,290,
185.0,Tuskegee U.,197,,70,,389,i,939,i,107,,68,,183,i,720,i
186.0,Creighton U.,522,i,1176,i,0,i,911,i,418,i,852,i,0,i,595,i
187.0,"U. Louisiana, Lafayette",788,,748,,580,,904,,212,,183,,113,,51,
188.0,U.S. Naval Academy,783,,984,,864,,893,,718,,880,,769,,693,
189.0,"SUNY, U. Albany",289,,529,,654,,881,,211,,258,,154,,221,
