Rank,Institution,NSF R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
214.0,U. North Dakota,2534,,122,,405,,753,,0,,748,,0,,0,,177,,328,,1,
215.0,Morehouse C.,2504,,0,,0,,103,,135,,1205,,0,,26,,1035,,0,,0,
216.0,Villanova U.,2490,,1017,,0,,612,,148,,378,,0,,0,,0,,335,,0,
217.0,Wake Forest U.,2473,,117,,0,,1006,,79,,1149,,0,,0,,0,,0,,122,
218.0,Smith C.,2438,,128,,54,,732,,361,,353,,212,,25,,0,,573,,0,
219.0,Fisk U.,2380,i,0,i,0,i,0,i,0,i,2380,i,0,i,0,i,0,i,0,i,0,i
220.0,"U. Louisiana, Lafayette",2287,,1174,,177,,153,,129,,29,,0,,50,,0,,134,,441,
221.0,"U. Massachusetts, Dartmouth",2279,,0,,410,,373,,229,,502,,46,,0,,0,,572,,147,
222.0,Marquette U.,2261,,0,,0,,309,,375,,779,,43,,26,,0,,729,,0,
223.0,"U. Texas, Brownsville",2233,,345,,0,,380,,41,,1453,,0,,0,,4,,10,,0,
224.0,Bowling Green State U.,2228,,2,,58,,170,,123,,431,,0,,0,,0,,0,,1444,
225.0,Northern Illinois U.,2179,,28,,418,,108,,71,,863,,351,,166,,0,,174,,0,
226.0,U. South Alabama,2119,,700,,171,,190,,0,,152,,0,,36,,0,,860,,10,
227.0,"CUNY, Queens C.",2092,,250,,314,,164,,130,,888,,0,,261,,0,,0,,85,
228.0,"California Polytechnic State U., San Luis Obispo",2057,,34,,134,,47,,482,,456,,35,,0,,0,,783,,86,
229.0,"CUNY, Hunter C.",2027,,115,,105,,665,,29,,899,,152,,21,,0,,0,,41,
230.0,DePaul U.,2017,,1667,,2,,0,,0,,28,,135,,0,,0,,0,,185,
231.0,Tennessee Technological U.,2009,,194,,0,,6,,73,,354,,493,,0,,0,,824,,65,
232.0,Florida Institute of Technology,1997,,3,,34,,846,,108,,613,,0,,0,,0,,393,,0,
233.0,"Arkansas State U., Jonesboro",1962,,10,,0,,800,,0,,392,,217,,0,,0,,542,,1,
233.0,Hofstra U.,1962,,45,,0,,241,,0,,0,,0,,15,,0,,1406,,255,
235.0,Texas A&M U.-Corpus Christi,1954,,736,,380,,0,,441,,0,,0,,0,,33,,208,,156,
236.0,"U. North Carolina, Greensboro",1934,,71,,0,,1082,,144,,171,,165,,151,,0,,0,,150,
237.0,Norfolk State U.,1920,,0,,0,,0,,0,,449,,0,,0,,0,,1471,,0,
238.0,Clark Atlanta U.,1911,,0,,0,,693,,0,,1218,,0,,0,,0,,0,,0,
239.0,"U. North Carolina, Wilmington",1909,,82,,272,,612,,30,,360,,0,,0,,367,,0,,186,
240.0,U. New Orleans,1902,,349,,0,,370,,0,,1038,,0,,0,,0,,36,,109,
241.0,Marshall U.,1882,,0,,1,,1703,,0,,42,,0,,0,,0,,62,,74,
242.0,Baylor C. of Medicine,1873,,0,,0,,1873,,0,,0,,0,,0,,0,,0,,0,
243.0,Florida Atlantic U.,1836,,495,,40,,69,,47,,65,,154,,0,,0,,161,,805,
244.0,American U.,1794,,0,,51,,74,,0,,49,,0,,456,,1119,,0,,45,
245.0,Missouri State U.,1780,,0,,0,,1523,,49,,29,,0,,0,,0,,179,,0,
246.0,"U. Arkansas, Little Rock",1738,,151,,0,,814,,45,,537,,0,,0,,0,,191,,0,
247.0,Baylor U.,1734,,0,,247,,218,,235,,916,,0,,0,,0,,118,,0,
248.0,Louisiana Tech U.,1731,,0,,0,,0,,292,,941,,0,,0,,0,,498,,0,
249.0,"U. Maryland, Eastern Shore",1718,,0,,1711,,7,,0,,0,,0,,0,,0,,0,,0,
250.0,Alabama State U.,1700,,0,,0,,1700,,0,,0,,0,,0,,0,,0,,0,
251.0,Clarkson U.,1634,,0,,0,,7,,111,,365,,0,,0,,0,,1151,,0,
