Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
153.0,"U. Alabama, Huntsville",88439,,67451,,1450,,18099.0,,1403.0,,9.0,,27.0,
154.0,Cold Spring Harbor Laboratory,84653,,49063,,219,,9964.0,,3906.0,,21501.0,,0.0,
155.0,"SUNY, Binghamton U.",79895,,16171,,2339,,57308.0,,3096.0,,388.0,,593.0,
156.0,U. Oregon,79698,,69723,,1106,,4497.0,,593.0,,3779.0,,0.0,
157.0,U. Maine,79500,,35369,,15619,,23601.0,,2700.0,,1217.0,,994.0,
158.0,Rush U.,79048,,52193,,1335,,9277.0,,11856.0,,4387.0,,0.0,
159.0,"U. Texas, Arlington",77798,,27712,,16253,,23837.0,,8751.0,,978.0,,267.0,
160.0,"U. Louisiana, Lafayette",77300,,15799,,3221,,38354.0,,14462.0,,4607.0,,857.0,
161.0,Brandeis U.,74700,,47841,,81,,13007.0,,5393.0,,7561.0,,817.0,
162.0,"U. Massachusetts, Lowell",70384,,31059,,3215,,28958.0,,4634.0,,1568.0,,950.0,
163.0,Syracuse U.,69896,,32378,,5541,,23879.0,,3610.0,,4488.0,,0.0,
164.0,Michigan Technological U.,69607,,28692,,680,,30791.0,,6876.0,,940.0,,1628.0,
165.0,"U. Maryland, Baltimore County",68688,,47954,,2587,,15194.0,,1638.0,,1138.0,,177.0,
166.0,Georgia Regents U.,67737,,50585,,380,,9412.0,,2778.0,,4161.0,,421.0,
167.0,"U. Tennessee, Knoxville, Institute of Agriculture",67059,,15320,,2457,,42176.0,,4047.0,,1656.0,,1403.0,
168.0,"U. Tennessee, Health Science Center",65771,,39356,,3187,,11229.0,,2544.0,,4810.0,,4645.0,
169.0,Old Dominion U.,65092,,40002,,3456,,17960.0,,1247.0,,808.0,,1619.0,
170.0,U. North Dakota,64384,,37697,,8154,,5436.0,,12180.0,,549.0,,368.0,
171.0,U. Wisconsin-Milwaukee,63414,,25587,,23783,,9529.0,,1963.0,,1572.0,,980.0,
172.0,"U. Massachusetts, Boston",62374,,28653,,4394,,24456.0,,1499.0,,2991.0,,381.0,
173.0,C. of William and Mary and Virginia Institute of Marine Science,61554,,33129,,4513,,18563.0,,1262.0,,3670.0,,417.0,
174.0,Ohio U.,61078,,17303,,1238,,33270.0,,6118.0,,3059.0,,90.0,
175.0,"U. Montana, Missoula",60485,,33718,,1796,,21315.0,,1012.0,,714.0,,1930.0,
176.0,Wichita State U.,59940,,7728,,8547,,12238.0,,31257.0,,157.0,,13.0,
177.0,U. Akron,58512,,14676,,3739,,29908.0,,5284.0,,3106.0,,1799.0,
178.0,South Dakota State U.,58373,,28670,,15908,,5473.0,,1175.0,,5354.0,,1793.0,
179.0,Colorado School of Mines,58349,,34266,,1220,,2929.0,,16570.0,,2173.0,,1191.0,
180.0,American U.,58325,,9449,,58,,39325.0,,721.0,,8437.0,,335.0,
181.0,"U. Alabama, Tuscaloosa",58234,,28988,,7220,,18828.0,,2252.0,,375.0,,571.0,
182.0,Cleveland State U.,57662,,41851,,1416,,5805.0,,4069.0,,4318.0,,203.0,
