Rank,Institution,USDA R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
152.0,Missouri State U.,349.0,,0.0,,0.0,,345.0,,0.0,,0.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0
153.0,Columbia U. in the City of New York,345.0,,0.0,,261.0,,84.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
154.0,U. Central Florida,344.0,,0.0,,3.0,,17.0,,0.0,,51.0,,0.0,,42.0,,0.0,,231.0,,0.0,,0
155.0,"U. Texas Health Science Center, Houston",338.0,,0.0,,0.0,,338.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
156.0,Syracuse U.,336.0,,16.0,,0.0,,30.0,,0.0,,0.0,,0.0,,270.0,,0.0,,20.0,,0.0,,0
157.0,Rice U.,332.0,,0.0,,0.0,,126.0,,0.0,,0.0,,0.0,,10.0,,0.0,,196.0,,0.0,,0
158.0,"U. California, Merced",330.0,,0.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,317.0,,0.0,,0
159.0,"U. California, Los Angeles",328.0,,0.0,,67.0,,260.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0
160.0,"U. Alabama, Tuscaloosa",326.0,,0.0,,82.0,,150.0,,0.0,,0.0,,0.0,,64.0,,0.0,,0.0,,30.0,,0
161.0,"U. North Carolina, Greensboro",322.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,322.0,,0.0,,0.0,,0.0,,0
162.0,Emory U.,316.0,,0.0,,111.0,,205.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
163.0,U. Southern California,310.0,,0.0,,0.0,,31.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,279.0,,0
164.0,Boston U.,308.0,,0.0,,256.0,,44.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,,0
165.0,"U. California, San Diego",306.0,,0.0,,68.0,,211.0,,0.0,,27.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
166.0,"California State Polytechnic U., Pomona",305.0,,0.0,,0.0,,271.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34.0,,0
166.0,Princeton U.,305.0,,0.0,,261.0,,6.0,,0.0,,0.0,,0.0,,38.0,,0.0,,0.0,,0.0,,0
168.0,U. Chicago,304.0,,122.0,,0.0,,32.0,,0.0,,150.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
169.0,San Diego State U.,301.0,,0.0,,0.0,,262.0,,0.0,,0.0,,0.0,,39.0,,0.0,,0.0,,0.0,,0
170.0,"California State U., Fullerton",297.0,,0.0,,0.0,,110.0,,0.0,,0.0,,0.0,,187.0,,0.0,,0.0,,0.0,,0
171.0,"Columbia U., Teachers C.",291.0,,0.0,,0.0,,291.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
171.0,Middle Tennessee State U.,291.0,,18.0,,74.0,,141.0,,0.0,,0.0,,0.0,,0.0,,0.0,,58.0,,0.0,,0
173.0,"U. Washington, Bothell",285.0,,0.0,,0.0,,285.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
174.0,George Mason U.,284.0,,229.0,,13.0,,42.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
175.0,"Washington U., Saint Louis",282.0,,0.0,,0.0,,282.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
176.0,Pittsburg State U.,277.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,277.0,,0.0,,0
177.0,"U. Virginia, Charlottesville",272.0,,13.0,,8.0,,236.0,,0.0,,0.0,,0.0,,15.0,,0.0,,0.0,,0.0,,0
178.0,Kent State U.,264.0,,0.0,,0.0,,264.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
