Table 1-72:  Annual Highway Congestion Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual congestion cost (2014 dollars- millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eugene, OR",Small,795,838,837,865,895,905,914,913,900,896,894,810,802,810,806,806,804,58,59,61,62,64,67,66,66,69,72,69,73,75,75,75,75,76,153,162,162,167,173,175,176,176,174,173,173,156,155,156,156,156,155,87,88,88,90,91,91,91,90,92,93,91,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresno, CA",Medium,424,469,466,490,520,525,534,529,531,534,493,490,491,482,475,487,495,90,90,91,91,92,92,93,94,95,95,95,95,95,96,97,97,96,215,238,237,249,264,266,271,268,270,271,250,249,249,245,241,247,251,79,77,77,79,80,81,82,84,83,83,85,84,84,84,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Rapids, MI",Medium,779,821,847,846,840,864,852,853,847,859,855,809,826,827,835,855,854,60,60,60,65,70,70,72,72,74,74,75,74,73,73,73,70,68,428,452,466,466,462,475,469,469,466,473,470,445,455,455,459,471,470,59,58,57,57,60,60,61,60,61,61,60,62,61,61,61,61,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greensboro, NC",Small,605,627,639,697,732,765,776,757,739,762,744,714,728,721,713,709,703,78,81,81,78,80,80,78,81,85,83,81,81,81,81,83,85,85,151,157,160,174,183,191,194,189,185,190,186,178,182,180,178,177,176,89,89,91,89,88,89,89,89,89,89,89,89,89,88,89,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford, CT",Medium,953,967,"1,002","1,023","1,040","1,048","1,077","1,084","1,119","1,136","1,163","1,151","1,129","1,066","1,053","1,046","1,038",32,36,34,37,37,38,35,33,29,28,19,20,24,28,30,32,35,601,610,633,646,656,661,680,684,706,717,734,726,713,673,665,660,656,50,49,49,50,50,50,50,50,49,49,49,47,48,48,49,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honolulu, HI",Medium,"1,040","1,063","1,050","1,055","1,061","1,086","1,108","1,156","1,156","1,161","1,135","1,111","1,138","1,130","1,128","1,129","1,125",25,27,31,32,35,33,31,27,26,23,26,24,22,23,24,23,24,570,583,575,578,581,595,608,634,634,637,622,609,624,619,618,619,616,51,52,53,53,53,53,52,52,52,52,52,52,52,52,52,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",Very large,"1,058","1,096","1,121","1,211","1,271","1,322","1,329","1,367","1,382","1,359","1,321","1,326","1,315","1,335","1,429","1,478","1,490",22,22,19,12,12,12,11,12,10,10,10,8,9,8,7,6,6,"3,496","3,622","3,705","4,002","4,201","4,371","4,392","4,518","4,569","4,491","4,367","4,383","4,347","4,413","4,722","4,884","4,924",11,11,11,9,8,8,9,8,7,7,6,6,6,6,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indianapolis, IN",Large,863,866,898,902,930,950,954,969,"1,026","1,058","1,081","1,057","1,082","1,060","1,054","1,065","1,060",48,53,51,55,55,57,61,57,47,39,33,31,30,30,29,29,30,930,933,967,971,"1,001","1,023","1,028","1,044","1,105","1,139","1,165","1,138","1,165","1,142","1,135","1,147","1,142",37,37,37,37,37,37,38,37,34,30,30,29,29,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indio-Cathedral City-Palm Springs, CA",Small,146,146,139,139,136,176,192,234,256,228,160,166,161,158,154,152,149,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,39,39,38,37,37,48,52,63,69,62,43,45,43,43,42,41,40,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, MS",Small,601,660,732,810,877,923,956,965,954,931,904,875,903,890,883,881,878,79,77,76,69,68,63,60,58,62,66,66,66,60,61,62,63,64,193,212,235,260,281,296,306,310,306,299,290,281,290,285,283,282,282,81,81,79,77,77,77,78,78,80,81,81,81,80,80,80,81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville, FL",Large,825,863,858,881,917,970,"1,003","1,039","1,043","1,037",943,903,896,844,854,849,842,53,54,59,59,56,51,49,44,42,43,57,58,65,72,70,72,72,645,674,671,689,716,758,784,812,815,810,737,706,700,660,668,663,659,47,47,47,48,49,48,45,46,46,46,48,49,49,49,48,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas City, MO-KS",Large,909,957,936,953,990,995,"1,025","1,003",981,967,966,942,956,945,939,937,933,39,39,45,42,43,46,45,50,55,58,53,52,48,49,48,51,49,"1,057","1,113","1,089","1,108","1,151","1,157","1,192","1,167","1,140","1,124","1,123","1,095","1,112","1,099","1,091","1,090","1,085",34,33,34,34,32,32,31,31,30,32,31,31,31,31,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knoxville, TN",Medium,747,804,830,843,886,905,896,886,899,910,890,867,875,859,869,860,849,66,64,62,66,67,67,68,70,70,69,71,69,70,70,66,68,70,323,348,359,365,383,391,387,383,389,394,385,375,378,371,376,372,367,71,69,69,70,69,69,70,70,70,69,70,69,69,70,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lancaster-Palmdale, CA",Small,236,234,251,271,318,352,354,362,386,369,338,394,367,359,355,353,349,97,98,99,99,98,98,98,99,98,100,100,100,100,100,100,100,100,59,59,63,68,80,89,89,91,97,93,85,99,92,91,89,89,88,98,98,98,98,98,97,97,97,97,98,99,97,98,98,98,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laredo, TX",Small,232,261,263,279,297,315,323,335,376,459,486,451,467,468,488,498,496,98,97,98,98,99,99,100,100,100,98,96,97,97,97,96,95,95,50,56,57,60,64,68,70,72,81,99,105,97,101,101,106,108,107,99,99,99,99,99,99,100,100,99,97,97,98,97,97,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Las Vegas, NV",Large,803,862,886,920,983,"1,038","1,071","1,101","1,095","1,113","1,096","1,041","1,011",972,963,974,984,57,55,53,50,44,40,36,31,33,31,29,32,38,42,43,42,42,"1,122","1,204","1,238","1,286","1,374","1,451","1,497","1,538","1,530","1,555","1,532","1,455","1,413","1,359","1,346","1,360","1,375",30,28,28,27,26,25,25,25,25,25,25,25,25,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Little Rock, AR",Small,488,537,574,642,683,694,754,784,791,845,887,902,896,878,857,853,853,89,88,87,86,84,84,82,79,78,76,73,59,65,67,69,71,69,193,212,226,253,269,274,297,309,312,333,350,356,353,346,338,336,336,81,81,81,78,78,79,79,79,79,77,73,72,73,73,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles-Long Beach-Santa Ana, CA",Very large,"2,042","2,035","2,021","2,013","2,028","2,051","2,069","2,038","2,033","1,951","1,905","1,819","1,797","1,758","1,741","1,731","1,711",1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,"15,897","15,841","15,731","15,671","15,793","15,966","16,109","15,866","15,830","15,188","14,832","14,164","13,992","13,685","13,552","13,476","13,318",1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisville, KY-IN",Large,936,970,990,"1,014","1,048","1,072","1,079","1,072","1,051","1,036","1,053",994,"1,035","1,019","1,008","1,015","1,048",34,35,36,38,36,34,34,37,39,44,37,40,36,35,37,37,32,768,796,813,832,860,880,885,879,862,850,864,815,849,836,827,833,860,41,43,43,44,44,44,44,44,43,45,45,45,45,44,45,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
