Table 1-47:  U.S.-Canadian Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,,,,,,,,,,,,,
All U.S.-Canadian land gateways,2002,2003,,2004,,2005,,2006,,2007,,2008,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","883,448","Buffalo-Niagara Falls, NY","744,789","Buffalo-Niagara Falls, NY","729,403","Buffalo-Niagara Falls, NY","687,530","Buffalo-Niagara Falls, NY","626,145","Buffalo-Niagara Falls, NY","590,406","Buffalo-Niagara Falls, NY","521,945",,,,,,,,,,,,
"Blaine, WA","323,333","Champlain-Rouses Point, NY","368,763","Champlain-Rouses Point, NY","395,680","Champlain-Rouses Point, NY","410,941","Champlain-Rouses Point, NY","387,263","Champlain-Rouses Point, NY","332,621","Champlain-Rouses Point, NY","309,236",,,,,,,,,,,,
"Detroit, MI","297,787","Blaine, WA","332,445","Blaine, WA","328,179","Blaine, WA","324,371","Detroit, MI","330,329","Detroit, MI","305,850","Blaine, WA","308,218",,,,,,,,,,,,
"Champlain-Rouses Point, NY","282,949","Detroit, MI","268,622","Detroit, MI","254,712","Detroit, MI","265,757","Blaine, WA","314,526","Blaine, WA","260,497","Detroit, MI","229,636",,,,,,,,,,,,
"Skagway, AK","161,255","Skagway, AK","144,994","Skagway, AK","143,706","Skagway, AK","155,359","Skagway, AK","151,927","Skagway, AK","184,949","Skagway, AK","161,821",,,,,,,,,,,,
Pedestrians – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","244,697","Buffalo-Niagara Falls, NY","258,868","Buffalo-Niagara Falls, NY","282,815","Buffalo-Niagara Falls, NY","290,987","Buffalo-Niagara Falls, NY","280,260","Buffalo-Niagara Falls, NY","274,680","Buffalo-Niagara Falls, NY","305,675",,,,,,,,,,,,
"Sumas, WA","27,022","Sumas, WA","28,172","Sumas, WA","26,527","Sumas, WA","36,565","Sumas, WA","46,761","Sumas, WA","59,350","Sumas, WA","46,407",,,,,,,,,,,,
"Calais, ME","16,665","International Falls, MN","21,697","Detroit, MI","20,913","Detroit, MI","20,613 ","Point Roberts, WA","22,360","Point Roberts, WA","20,143","Point Roberts, WA","21,311",,,,,,,,,,,,
"Detroit, MI","16,529","Detroit, MI","17,302","International Falls, MN","18,582","Point Roberts, WA","16,214 ","Calais, ME         ","21,180","Calais, ME         ","18,733","International Falls, MN","13,662",,,,,,,,,,,,
